Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Luka DonÄiÄ,26.0,LAL,PG,35.0,35.0,36.4,10.5,22.6,0.465,3.4,10.3,0.333,7.1,12.3,0.575,0.541,9.0,11.4,0.785,0.9,6.9,7.8,8.7,1.6,0.5,4.3,2.7,33.4,
2.0,Shai Gilgeous-Alexander,27.0,OKC,PG,44.0,44.0,33.4,11.1,19.9,0.557,1.9,4.8,0.396,9.2,15.1,0.608,0.605,8.3,9.2,0.894,0.5,3.9,4.4,6.2,1.3,0.8,2.0,2.0,32.3,
3.0,Tyrese Maxey,25.0,PHI,PG,41.0,41.0,39.5,10.6,22.5,0.471,3.5,9.0,0.391,7.1,13.5,0.524,0.549,5.4,6.1,0.88,0.3,4.0,4.3,6.8,2.1,1.0,2.5,2.1,30.1,
4.0,Jaylen Brown,29.0,BOS,SF,41.0,41.0,34.4,10.9,22.5,0.483,2.2,6.0,0.366,8.7,16.5,0.526,0.532,5.8,7.5,0.781,1.3,5.4,6.7,4.9,1.0,0.4,3.7,3.0,29.7,
5.0,Anthony Edwards,24.0,MIN,SG,36.0,36.0,35.2,10.2,20.7,0.495,3.5,8.6,0.406,6.8,12.1,0.557,0.579,5.7,7.2,0.795,0.6,4.4,5.1,3.7,1.3,0.8,2.6,2.0,29.6,
6.0,Nikola JokiÄ,30.0,DEN,C,32.0,32.0,34.6,10.6,17.5,0.605,2.1,4.8,0.435,8.5,12.7,0.67,0.665,6.3,7.4,0.853,3.0,9.1,12.2,11.0,1.4,0.8,3.5,2.8,29.6,
7.0,Donovan Mitchell,29.0,CLE,SG,42.0,42.0,34.1,10.0,20.8,0.482,3.8,10.0,0.383,6.2,10.8,0.573,0.573,5.1,6.1,0.84,0.8,4.0,4.8,5.7,1.5,0.2,3.1,2.4,29.0,
8.0,Kawhi Leonard,34.0,LAC,SF,31.0,31.0,33.5,9.7,19.5,0.497,2.9,7.3,0.4,6.8,12.3,0.554,0.571,5.8,6.1,0.942,0.9,5.3,6.2,3.5,2.2,0.6,2.1,1.4,28.1,
9.0,Giannis Antetokounmpo,31.0,MIL,PF,30.0,30.0,29.2,10.5,16.2,0.645,0.5,1.3,0.395,10.0,15.0,0.666,0.66,6.5,9.9,0.658,2.8,7.2,10.0,5.6,0.9,0.7,3.3,2.6,28.0,
10.0,Jalen Brunson,29.0,NYK,PG,39.0,38.0,34.4,10.0,20.9,0.478,2.9,7.6,0.379,7.1,13.2,0.535,0.547,5.0,5.9,0.852,0.5,2.7,3.2,6.1,0.7,0.1,2.3,2.4,27.9,
11.0,Lauri Markkanen,28.0,UTA,PF,33.0,33.0,36.0,9.5,19.7,0.483,2.9,8.0,0.365,6.6,11.7,0.563,0.557,6.0,6.8,0.884,2.0,5.2,7.2,2.2,1.0,0.5,1.6,2.0,27.9,
12.0,Stephen Curry,37.0,GSW,PG,36.0,36.0,31.7,9.1,19.3,0.47,4.6,11.6,0.392,4.5,7.7,0.586,0.588,4.6,5.0,0.928,0.4,3.3,3.7,4.9,1.1,0.4,2.8,2.0,27.4,
13.0,Austin Reaves,27.0,LAL,SG,23.0,22.0,35.3,8.2,16.2,0.507,2.7,7.4,0.365,5.5,8.8,0.626,0.59,7.5,8.6,0.873,0.7,4.5,5.2,6.3,1.0,0.2,3.3,2.3,26.6,
