Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
233.0,Buddy Hield,33.0,GSW,SG,39.0,3.0,16.9,2.9,6.6,0.441,1.6,4.4,0.357,1.3,2.2,0.612,0.561,0.7,0.7,0.929,0.6,1.8,2.4,1.4,0.8,0.2,0.9,1.2,8.0,
234.0,Quinten Post,25.0,GSW,PF,46.0,31.0,17.8,3.0,6.8,0.441,1.5,4.4,0.348,1.5,2.4,0.615,0.554,0.4,0.5,0.792,1.0,3.0,4.0,1.4,0.5,0.5,0.8,2.0,8.0,
235.0,Jose Alvarado,27.0,NOP,PG,35.0,0.0,22.2,2.9,6.8,0.424,1.6,4.4,0.361,1.3,2.4,0.542,0.542,0.5,0.7,0.826,0.4,2.4,2.8,3.3,1.0,0.1,1.3,2.1,7.9,
236.0,Kris Dunn,31.0,LAC,PG,44.0,38.0,27.5,3.0,6.1,0.487,1.1,2.9,0.372,1.9,3.2,0.593,0.576,0.9,1.1,0.792,0.8,2.1,2.9,3.2,1.5,0.2,1.3,2.4,7.9,
237.0,Caris LeVert,31.0,DET,SG,31.0,0.0,19.7,2.8,6.6,0.431,1.1,3.2,0.34,1.7,3.4,0.519,0.515,1.2,1.7,0.679,0.3,1.5,1.8,2.8,0.9,0.6,1.4,1.5,7.9,
238.0,Daniel Gafford,27.0,DAL,C,29.0,20.0,20.8,3.0,4.8,0.629,0.0,0.0,,3.0,4.8,0.629,0.629,1.8,2.3,0.761,2.0,4.5,6.5,0.8,0.8,1.3,1.3,2.6,7.8,
239.0,Daniss Jenkins,24.0,DET,PG,35.0,7.0,16.3,2.8,6.5,0.429,1.0,2.6,0.396,1.7,3.9,0.452,0.509,1.2,1.5,0.792,0.5,1.2,1.7,3.3,1.0,0.2,1.5,1.3,7.8,
240.0,Luke Kennard,29.0,ATL,SG,41.0,0.0,20.4,2.8,5.2,0.528,1.6,3.3,0.481,1.2,1.9,0.608,0.68,0.7,0.7,0.933,0.4,1.7,2.1,2.2,0.8,0.0,0.8,1.2,7.8,
241.0,Tre Mann,24.0,CHO,PG,28.0,1.0,16.9,3.0,8.0,0.372,1.3,4.1,0.322,1.6,3.9,0.426,0.455,0.5,0.6,0.882,0.7,1.8,2.4,2.3,0.5,0.1,1.4,1.8,7.8,
242.0,Collin Murray-Boyles,20.0,TOR,PF,37.0,13.0,21.5,3.2,6.0,0.536,0.4,1.2,0.349,2.8,4.8,0.581,0.57,0.9,1.4,0.642,2.5,2.6,5.1,2.0,0.9,0.7,1.1,2.6,7.8,
243.0,Day'Ron Sharpe,24.0,BRK,C,41.0,3.0,18.1,3.0,5.0,0.603,0.1,0.7,0.2,2.9,4.2,0.672,0.618,1.7,2.5,0.676,2.4,3.8,6.2,2.3,1.0,0.4,1.6,2.2,7.8,
244.0,Luka Garza,27.0,BOS,C,36.0,1.0,16.6,2.8,4.7,0.588,0.7,1.5,0.472,2.1,3.3,0.641,0.662,1.4,1.8,0.813,2.4,1.9,4.3,1.0,0.4,0.5,0.4,2.6,7.7,
245.0,Tyrese Martin,26.0,BRK,SG,34.0,6.0,19.3,2.9,7.0,0.408,1.5,4.1,0.355,1.4,2.9,0.485,0.513,0.6,0.8,0.731,0.9,1.9,2.9,2.0,0.6,0.1,0.9,0.9,7.7,
246.0,Precious Achiuwa,26.0,SAC,C,39.0,25.0,20.9,3.1,6.1,0.515,0.4,1.2,0.333,2.7,4.9,0.557,0.546,0.9,1.8,0.529,1.9,3.7,5.6,1.2,0.8,0.6,0.6,1.7,7.6,
247.0,Jamaree Bouyea,26.0,PHO,PG,19.0,0.0,14.7,3.1,5.5,0.562,0.8,2.1,0.41,2.3,3.5,0.652,0.638,0.6,0.8,0.688,0.5,1.5,2.1,1.7,0.6,0.4,0.4,0.7,7.6,
248.0,Terance Mann,29.0,BRK,SG,38.0,35.0,25.4,2.8,6.2,0.447,0.8,2.5,0.337,1.9,3.7,0.521,0.515,1.2,1.5,0.821,1.3,2.1,3.3,3.7,0.8,0.3,1.1,2.6,7.6,
249.0,Bryce McGowens,23.0,NOP,SG,29.0,11.0,19.4,2.5,5.3,0.477,0.8,1.9,0.436,1.7,3.4,0.5,0.556,1.8,2.3,0.761,0.3,1.7,2.0,1.3,0.6,0.1,0.5,1.9,7.6,
