Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
238.0,Caris LeVert,31.0,DET,SG,31.0,0.0,612.0,88.0,204.0,0.431,34.0,100.0,0.34,54.0,104.0,0.519,0.515,36.0,53.0,0.679,8.0,48.0,56.0,88.0,28.0,20.0,44.0,45.0,246.0,0.0,
239.0,Ryan Dunn,23.0,PHO,SF,38.0,11.0,791.0,98.0,217.0,0.452,31.0,99.0,0.313,67.0,118.0,0.568,0.523,18.0,26.0,0.692,61.0,109.0,170.0,64.0,35.0,18.0,39.0,90.0,245.0,0.0,
240.0,Kobe Sanders,23.0,LAC,SG,36.0,8.0,744.0,87.0,197.0,0.442,37.0,95.0,0.389,50.0,102.0,0.49,0.536,32.0,37.0,0.865,16.0,70.0,86.0,53.0,23.0,4.0,47.0,76.0,243.0,0.0,
241.0,Jonathan Kuminga,23.0,GSW,PF,20.0,13.0,476.0,88.0,194.0,0.454,17.0,53.0,0.321,71.0,141.0,0.504,0.497,49.0,66.0,0.742,29.0,88.0,117.0,50.0,8.0,6.0,46.0,33.0,242.0,0.0,
242.0,Tyler Herro,26.0,MIA,SG,11.0,10.0,349.0,90.0,181.0,0.497,24.0,67.0,0.358,66.0,114.0,0.579,0.564,37.0,41.0,0.902,6.0,46.0,52.0,30.0,11.0,5.0,17.0,22.0,241.0,0.0,
243.0,Domantas Sabonis,29.0,SAC,C,15.0,11.0,454.0,93.0,176.0,0.528,5.0,24.0,0.208,88.0,152.0,0.579,0.543,49.0,66.0,0.742,45.0,130.0,175.0,57.0,15.0,3.0,42.0,55.0,240.0,0.0,
244.0,Josh Okogie,27.0,HOU,SG,43.0,27.0,855.0,84.0,189.0,0.444,40.0,101.0,0.396,44.0,88.0,0.5,0.55,31.0,48.0,0.646,48.0,69.0,117.0,39.0,42.0,9.0,32.0,69.0,239.0,0.0,
245.0,Ryan Nembhard,22.0,DAL,PG,32.0,17.0,650.0,99.0,219.0,0.452,31.0,78.0,0.397,68.0,141.0,0.482,0.523,8.0,11.0,0.727,7.0,55.0,62.0,165.0,8.0,0.0,49.0,47.0,237.0,0.0,
246.0,Brook Lopez,37.0,LAC,C,37.0,7.0,627.0,80.0,221.0,0.362,53.0,162.0,0.327,27.0,59.0,0.458,0.482,22.0,26.0,0.846,13.0,82.0,95.0,32.0,18.0,36.0,30.0,60.0,235.0,0.0,
247.0,Goga Bitadze,26.0,ORL,C,39.0,1.0,652.0,97.0,141.0,0.688,2.0,10.0,0.2,95.0,131.0,0.725,0.695,38.0,52.0,0.731,84.0,119.0,203.0,49.0,30.0,48.0,22.0,86.0,234.0,0.0,
248.0,Jaden Ivey,23.0,DET,SG,28.0,2.0,475.0,86.0,187.0,0.46,34.0,93.0,0.366,52.0,94.0,0.553,0.551,28.0,36.0,0.778,15.0,44.0,59.0,47.0,13.0,11.0,29.0,38.0,234.0,0.0,
249.0,Bones Hyland,25.0,MIN,PG,36.0,3.0,491.0,84.0,188.0,0.447,41.0,116.0,0.353,43.0,72.0,0.597,0.556,23.0,32.0,0.719,7.0,41.0,48.0,90.0,18.0,9.0,27.0,57.0,232.0,0.0,
250.0,Corey Kispert,26.0,2TM,SF,26.0,5.0,494.0,78.0,167.0,0.467,40.0,106.0,0.377,38.0,61.0,0.623,0.587,36.0,46.0,0.783,10.0,50.0,60.0,41.0,13.0,3.0,21.0,26.0,232.0,0.0,
