Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
191.0,Dominick Barlow,22.0,PHI,PF,33.0,29.0,797.0,14.1,0.618,0.258,0.278,9.7,13.6,11.6,7.7,1.8,2.6,12.5,13.1,1.2,0.9,2.1,0.128,-1.0,0.6,-0.4,0.3,
192.0,Collin Murray-Boyles,20.0,TOR,PF,37.0,13.0,796.0,14.9,0.585,0.194,0.239,13.0,13.5,13.3,12.6,2.0,3.2,14.3,15.3,1.0,1.1,2.2,0.13,-0.9,1.3,0.3,0.5,
193.0,Darius Garland,26.0,CLE,PG,26.0,26.0,792.0,15.4,0.567,0.435,0.21,1.6,7.0,4.3,33.4,1.3,0.3,15.1,25.3,0.9,0.5,1.3,0.08,0.8,-2.6,-1.7,0.0,
194.0,Ryan Dunn,23.0,PHO,SF,38.0,11.0,791.0,11.6,0.536,0.456,0.12,8.4,15.7,12.0,10.9,2.2,2.2,14.6,14.2,0.4,1.1,1.5,0.091,-2.2,1.1,-1.1,0.2,
195.0,Ben Sheppard,24.0,IND,SG,35.0,12.0,787.0,8.2,0.505,0.628,0.164,2.9,13.1,7.8,10.9,1.2,0.4,7.1,12.8,0.2,0.5,0.7,0.043,-3.3,-0.1,-3.4,-0.3,
196.0,Will Richard,23.0,GSW,SG,41.0,15.0,784.0,12.3,0.624,0.606,0.207,5.4,8.8,7.1,9.7,2.7,0.6,12.0,13.9,1.0,0.9,1.9,0.114,-1.5,1.0,-0.5,0.3,
197.0,Nique Clifford,23.0,SAC,SG,42.0,3.0,779.0,6.7,0.487,0.453,0.16,3.9,13.7,8.7,9.3,1.4,1.4,16.5,14.9,-0.8,0.3,-0.5,-0.029,-5.0,-1.0,-6.0,-0.8,
198.0,Jose Alvarado,27.0,NOP,PG,35.0,0.0,776.0,11.2,0.558,0.651,0.097,1.8,12.2,6.9,19.8,2.2,0.5,15.4,15.7,0.4,0.3,0.7,0.044,-1.8,-0.6,-2.4,-0.1,
199.0,Gradey Dick,22.0,TOR,SG,47.0,1.0,774.0,10.6,0.549,0.537,0.228,4.1,10.7,7.4,5.6,2.0,0.6,8.1,17.1,0.3,0.9,1.2,0.075,-2.9,-0.3,-3.2,-0.2,
200.0,Kevin Porter Jr.,25.0,MIL,PG,23.0,22.0,773.0,17.0,0.563,0.353,0.323,2.5,14.4,8.5,32.6,3.1,1.3,18.0,23.9,0.5,0.9,1.4,0.089,0.3,0.8,1.1,0.6,
201.0,Bennedict Mathurin,23.0,IND,SF,24.0,24.0,772.0,12.3,0.577,0.457,0.382,2.5,16.3,9.2,10.4,1.0,0.5,13.3,23.3,0.1,0.5,0.6,0.039,-1.4,-1.6,-3.0,-0.2,
202.0,Tobias Harris,33.0,DET,PF,28.0,28.0,768.0,13.7,0.56,0.378,0.244,3.9,14.2,9.1,12.5,1.4,0.9,8.6,19.4,0.9,1.1,2.0,0.126,-0.1,0.3,0.2,0.4,
203.0,Aaron Nesmith,26.0,IND,SF,25.0,22.0,761.0,10.0,0.498,0.566,0.22,5.1,13.4,9.1,10.7,1.1,1.6,9.7,20.5,-0.3,0.6,0.2,0.014,-2.5,-1.3,-3.8,-0.3,
204.0,Justin Champagnie,24.0,WAS,SF,41.0,10.0,758.0,16.4,0.584,0.356,0.236,11.7,20.2,16.0,8.2,1.9,2.6,8.5,15.0,1.2,0.5,1.8,0.114,0.0,-0.7,-0.7,0.3,
205.0,Dylan Harper,19.0,SAS,SG,35.0,0.0,745.0,13.7,0.502,0.276,0.215,3.7,12.3,8.0,24.4,2.1,1.1,11.9,23.2,0.1,1.0,1.1,0.069,-1.9,1.0,-0.9,0.2,
206.0,Kobe Sanders,23.0,LAC,SG,36.0,8.0,744.0,8.1,0.57,0.482,0.188,2.6,10.7,6.8,10.2,1.5,0.5,18.1,15.5,-0.2,0.4,0.2,0.014,-3.9,-0.9,-4.7,-0.5,
207.0,Day'Ron Sharpe,24.0,BRK,C,41.0,3.0,742.0,19.8,0.645,0.147,0.5,14.7,25.6,19.9,20.9,2.6,2.2,20.5,18.4,1.4,1.0,2.4,0.152,0.3,1.4,1.7,0.7,
