Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
23.0,Onyeka Okongwu,25.0,ATL,C,45.0,34.0,1443.0,8.9,18.4,0.484,2.9,7.9,0.369,6.0,10.5,0.571,0.564,3.2,4.0,0.782,2.8,8.7,11.5,4.9,1.8,1.4,2.9,5.2,23.9,114.0,114.0,
24.0,Donte DiVincenzo,29.0,MIN,SG,45.0,45.0,1435.0,6.6,16.1,0.414,4.6,12.1,0.375,2.1,3.9,0.534,0.556,1.9,2.4,0.767,1.5,5.3,6.8,6.4,2.0,0.7,2.1,3.7,19.7,120.0,114.0,
25.0,Immanuel Quickley,26.0,TOR,PG,44.0,44.0,1433.0,8.8,20.1,0.439,3.8,10.5,0.36,5.0,9.6,0.525,0.533,4.0,4.9,0.814,0.8,5.5,6.4,9.4,1.8,0.2,2.5,3.0,25.4,119.0,115.0,
26.0,Derrick White,31.0,BOS,SG,42.0,42.0,1432.0,8.9,22.8,0.391,4.3,13.4,0.323,4.6,9.4,0.489,0.486,3.8,4.3,0.886,1.4,5.3,6.7,7.9,1.9,2.2,2.7,2.5,25.9,117.0,114.0,
27.0,Donovan Mitchell,29.0,CLE,SG,42.0,42.0,1431.0,13.9,28.9,0.482,5.3,13.9,0.383,8.6,15.0,0.573,0.573,7.2,8.5,0.84,1.2,5.5,6.7,8.0,2.1,0.3,4.3,3.4,40.3,120.0,116.0,
28.0,Cooper Flagg,19.0,DAL,SF,42.0,42.0,1421.0,10.0,21.0,0.477,1.4,4.8,0.283,8.7,16.2,0.535,0.509,4.8,6.1,0.798,1.6,7.3,8.9,5.7,1.8,1.1,3.2,3.2,26.3,110.0,113.0,
29.0,Kon Knueppel,20.0,CHO,SF,44.0,43.0,1417.0,10.0,20.8,0.482,5.0,11.9,0.423,5.0,8.9,0.56,0.603,3.7,4.1,0.9,1.8,6.5,8.4,5.4,1.0,0.3,3.4,3.5,28.8,123.0,119.0,
30.0,Payton Pritchard,28.0,BOS,PG,43.0,43.0,1413.0,9.6,21.4,0.451,3.9,11.3,0.344,5.8,10.1,0.57,0.542,2.6,2.9,0.867,1.5,5.2,6.8,8.2,1.3,0.2,1.7,2.3,25.7,127.0,118.0,
31.0,Jaylen Brown,29.0,BOS,SF,41.0,41.0,1411.0,15.8,32.8,0.483,3.2,8.8,0.366,12.6,24.0,0.526,0.532,8.5,10.9,0.781,1.9,7.9,9.8,7.2,1.5,0.6,5.4,4.3,43.4,115.0,115.0,
32.0,VJ Edgecombe,20.0,PHI,SG,39.0,39.0,1399.0,7.9,18.3,0.429,2.9,7.9,0.368,4.9,10.4,0.475,0.509,2.5,3.3,0.766,2.3,4.9,7.2,5.6,2.1,0.7,2.5,4.4,21.1,112.0,115.0,
33.0,Devin Booker,29.0,PHO,SG,41.0,41.0,1394.0,12.0,26.4,0.456,2.4,7.8,0.313,9.6,18.5,0.517,0.503,10.0,11.5,0.864,1.2,4.6,5.8,8.9,1.3,0.4,4.8,3.8,36.5,118.0,117.0,
34.0,Ryan Rollins,23.0,MIL,PG,44.0,39.0,1390.0,9.5,20.8,0.459,3.5,9.0,0.392,6.0,11.8,0.509,0.543,2.4,3.1,0.764,1.3,5.6,6.9,8.4,2.4,0.6,3.5,4.4,24.9,111.0,116.0,
35.0,Jaden McDaniels,25.0,MIN,PF,43.0,43.0,1386.0,8.5,16.4,0.516,2.1,5.0,0.417,6.4,11.5,0.559,0.579,3.3,3.9,0.842,1.7,5.0,6.7,4.3,1.6,1.4,2.5,5.0,22.3,120.0,114.0,
36.0,Russell Westbrook,37.0,SAC,SF,46.0,40.0,1367.0,9.2,21.2,0.435,3.3,9.4,0.351,5.9,11.8,0.503,0.513,3.3,4.7,0.696,2.3,7.5,9.9,11.0,2.3,0.3,5.4,4.0,25.0,105.0,119.0,
37.0,Rudy Gobert,33.0,MIN,C,43.0,43.0,1363.0,6.8,9.5,0.716,0.0,0.0,0.0,6.8,9.5,0.719,0.716,2.9,5.7,0.506,5.8,11.2,17.1,2.7,1.1,2.6,2.0,4.3,16.5,135.0,110.0,
38.0,Jalen Brunson,29.0,NYK,PG,39.0,38.0,1341.0,14.2,29.7,0.478,4.1,10.9,0.379,10.1,18.8,0.535,0.547,7.1,8.4,0.852,0.7,3.8,4.5,8.7,0.9,0.1,3.2,3.5,39.6,124.0,120.0,
39.0,Evan Mobley,24.0,CLE,PF,40.0,38.0,1332.0,9.9,19.2,0.517,1.6,5.3,0.309,8.3,13.8,0.596,0.559,4.2,6.6,0.636,3.3,9.2,12.5,5.9,1.4,2.8,3.0,3.6,25.6,118.0,112.0,
40.0,Nikola VuÄeviÄ,35.0,CHI,C,43.0,43.0,1321.0,10.7,21.2,0.504,2.7,7.2,0.373,8.0,14.0,0.571,0.567,1.8,2.3,0.81,3.3,10.7,14.0,5.8,1.0,1.0,2.1,3.0,25.9,120.0,117.0,
41.0,Royce O'Neale,32.0,PHO,SF,45.0,40.0,1319.0,6.0,13.9,0.431,4.8,11.4,0.417,1.2,2.5,0.493,0.602,0.4,0.7,0.632,1.1,7.1,8.2,4.9,2.0,0.5,2.6,3.6,17.2,116.0,113.0,
42.0,Cade Cunningham,24.0,DET,PG,37.0,37.0,1314.0,11.8,26.2,0.451,2.6,7.9,0.321,9.3,18.2,0.508,0.5,7.9,9.7,0.823,1.3,6.5,7.8,13.1,2.0,1.1,5.3,4.4,34.1,117.0,110.0,
43.0,Karl-Anthony Towns,30.0,NYK,C,41.0,40.0,1313.0,10.4,22.1,0.469,2.6,7.2,0.363,7.7,14.9,0.52,0.528,8.5,9.8,0.86,4.5,13.1,17.6,4.5,1.4,1.0,4.0,5.5,31.8,121.0,112.0,
44.0,Anthony Black,22.0,ORL,PG,43.0,23.0,1312.0,8.9,19.3,0.459,2.5,7.2,0.354,6.3,12.2,0.521,0.525,4.4,6.0,0.726,1.2,5.2,6.4,6.3,2.0,1.0,3.8,4.3,24.7,108.0,115.0,
45.0,Naji Marshall,28.0,DAL,SF,45.0,22.0,1306.0,8.7,15.8,0.548,1.5,4.7,0.313,7.2,11.1,0.648,0.595,4.8,6.1,0.792,1.3,6.4,7.7,4.9,1.7,0.1,2.2,3.2,23.6,124.0,114.0,
46.0,Andrew Wiggins,30.0,MIA,SF,41.0,41.0,1294.0,8.9,18.9,0.471,2.8,7.0,0.398,6.1,11.9,0.513,0.544,2.6,3.3,0.783,2.6,4.6,7.2,4.1,1.7,1.5,2.6,3.5,23.2,112.0,114.0,
47.0,Julian Champagnie,24.0,SAS,SF,45.0,31.0,1290.0,6.3,14.8,0.427,4.3,11.4,0.379,2.0,3.4,0.587,0.573,2.6,3.2,0.826,1.6,8.7,10.4,2.5,1.5,0.7,1.7,2.6,19.6,120.0,112.0,
48.0,Peyton Watson,23.0,DEN,SF,43.0,33.0,1287.0,8.5,16.7,0.508,2.4,5.8,0.421,6.1,10.9,0.554,0.581,4.3,5.8,0.742,1.5,6.8,8.3,3.0,1.8,1.8,2.7,4.1,23.7,115.0,116.0,
49.0,Luka DonÄiÄ,26.0,LAL,PG,35.0,35.0,1273.0,14.1,30.3,0.465,4.6,13.8,0.333,9.5,16.5,0.575,0.541,12.0,15.3,0.785,1.2,9.3,10.4,11.6,2.1,0.7,5.8,3.6,44.7,119.0,115.0,
50.0,Collin Gillespie,26.0,PHO,PG,45.0,26.0,1272.0,8.1,18.3,0.444,5.0,11.8,0.424,3.1,6.4,0.482,0.582,1.9,2.3,0.847,1.7,5.4,7.1,8.3,2.5,0.5,3.0,2.6,23.2,123.0,114.0,
51.0,Harrison Barnes,33.0,SAS,PF,45.0,45.0,1271.0,6.3,14.5,0.432,3.1,8.8,0.358,3.1,5.7,0.546,0.54,2.5,2.9,0.87,1.4,3.7,5.1,3.6,1.2,0.3,1.6,2.2,18.2,118.0,116.0,
52.0,CJ McCollum,34.0,2TM,PG,42.0,36.0,1269.0,10.7,23.8,0.45,4.0,10.6,0.376,6.7,13.2,0.51,0.534,3.8,4.9,0.771,1.0,4.3,5.3,5.6,1.1,0.5,2.6,3.1,29.1,112.0,124.0,
52.0,CJ McCollum,34.0,WAS,SG,35.0,35.0,1082.0,10.6,23.3,0.454,4.2,10.7,0.393,6.3,12.5,0.505,0.544,3.6,4.5,0.804,1.0,4.4,5.5,5.5,1.1,0.4,2.6,3.2,28.9,115.0,125.0,
52.0,CJ McCollum,34.0,ATL,PG,7.0,1.0,187.0,11.5,26.6,0.434,2.5,9.5,0.263,9.0,17.1,0.529,0.481,4.8,7.3,0.655,1.0,3.5,4.5,6.0,1.3,1.3,2.8,2.8,30.3,102.0,118.0,
53.0,Quentin Grimes,25.0,PHI,SG,41.0,7.0,1267.0,6.7,15.5,0.433,3.2,9.0,0.353,3.6,6.5,0.544,0.536,4.5,5.2,0.861,1.0,5.0,6.1,5.8,1.6,0.7,3.2,3.2,21.1,116.0,116.0,
54.0,Anthony Edwards,24.0,MIN,SG,36.0,36.0,1266.0,13.9,28.0,0.495,4.7,11.6,0.406,9.2,16.4,0.557,0.579,7.7,9.7,0.795,0.8,6.0,6.9,5.0,1.7,1.1,3.5,2.7,40.2,120.0,114.0,
55.0,Shaedon Sharpe,22.0,POR,SG,42.0,36.0,1265.0,13.0,28.6,0.455,3.3,9.7,0.339,9.7,18.9,0.515,0.513,5.2,6.7,0.777,1.8,5.6,7.3,4.2,2.4,0.2,4.8,3.2,34.5,105.0,116.0,
56.0,Jaren Jackson Jr.,26.0,MEM,C,41.0,41.0,1252.0,10.8,22.6,0.479,2.6,7.2,0.363,8.2,15.4,0.533,0.537,5.1,6.5,0.779,1.4,7.4,8.8,2.9,1.4,2.4,3.6,5.9,29.3,107.0,113.0,
57.0,Jeremiah Fears,19.0,NOP,PG,47.0,44.0,1238.0,9.5,21.8,0.435,1.9,5.8,0.325,7.6,16.0,0.475,0.478,4.2,5.2,0.809,1.4,5.4,6.7,5.7,2.2,0.5,4.1,3.2,25.1,102.0,121.0,
58.0,Noah Clowney,21.0,BRK,PF,43.0,36.0,1237.0,6.9,17.9,0.388,3.6,11.4,0.319,3.3,6.5,0.509,0.49,5.2,6.5,0.802,1.7,5.6,7.4,3.2,1.3,1.4,3.1,4.8,22.7,106.0,119.0,
59.0,Brandin Podziemski,22.0,GSW,SG,46.0,14.0,1233.0,7.8,16.8,0.463,3.2,8.2,0.393,4.6,8.6,0.529,0.559,3.0,4.1,0.736,1.2,6.8,8.0,6.0,2.0,0.3,2.5,3.4,21.9,117.0,114.0,
60.0,Wendell Carter Jr.,26.0,ORL,C,41.0,41.0,1233.0,6.9,13.7,0.509,1.9,5.4,0.353,5.0,8.2,0.611,0.579,3.8,5.0,0.766,3.7,8.3,12.1,3.5,1.1,1.2,2.0,5.9,19.6,125.0,115.0,
61.0,Alperen ÅengÃ¼n,23.0,HOU,C,36.0,36.0,1232.0,12.0,23.7,0.508,0.9,3.1,0.299,11.1,20.5,0.54,0.527,6.0,8.7,0.693,4.1,9.0,13.1,9.3,2.2,1.5,4.9,4.7,31.0,118.0,111.0,
62.0,Bub Carrington,20.0,WAS,PG,43.0,16.0,1227.0,5.6,14.1,0.398,3.4,8.4,0.403,2.2,5.7,0.392,0.518,1.7,2.2,0.754,0.7,5.7,6.4,7.6,1.0,0.4,3.9,4.0,16.3,103.0,124.0,
63.0,Matas Buzelis,21.0,CHI,PF,44.0,44.0,1226.0,9.1,19.0,0.478,3.1,8.8,0.357,6.0,10.3,0.581,0.56,4.0,5.1,0.78,1.9,6.9,8.8,3.2,1.2,2.4,2.8,4.3,25.3,112.0,116.0,
64.0,Tim Hardaway Jr.,33.0,DEN,SG,45.0,5.0,1223.0,8.1,18.3,0.443,5.0,12.7,0.392,3.1,5.6,0.557,0.579,3.6,4.0,0.9,0.3,4.0,4.3,2.5,0.9,0.3,0.9,2.2,24.8,124.0,122.0,
65.0,Nic Claxton,26.0,BRK,C,41.0,39.0,1222.0,8.6,14.8,0.584,0.1,0.5,0.167,8.6,14.3,0.598,0.587,4.0,6.1,0.647,4.4,8.2,12.6,6.7,1.2,2.3,2.4,3.8,21.3,127.0,117.0,
66.0,Kris Dunn,31.0,LAC,PG,44.0,38.0,1211.0,5.4,11.1,0.487,2.0,5.3,0.372,3.4,5.8,0.593,0.576,1.6,2.0,0.792,1.4,3.9,5.3,5.7,2.7,0.3,2.4,4.4,14.4,118.0,118.0,
67.0,Norman Powell,32.0,MIA,SG,39.0,39.0,1204.0,11.8,24.4,0.484,4.4,11.0,0.406,7.4,13.4,0.549,0.575,7.1,8.4,0.845,0.5,4.9,5.4,3.9,1.8,0.3,2.9,3.3,35.1,119.0,115.0,
68.0,Dillon Brooks,30.0,PHO,SF,39.0,39.0,1203.0,11.7,26.8,0.435,3.8,11.2,0.344,7.8,15.6,0.5,0.507,4.8,5.6,0.855,1.1,4.4,5.5,2.7,1.7,0.2,3.0,5.3,32.0,108.0,116.0,
69.0,Max Christie,22.0,DAL,SG,41.0,32.0,1199.0,7.2,14.8,0.485,4.2,9.1,0.457,3.0,5.6,0.531,0.627,2.6,3.0,0.855,0.4,5.3,5.7,3.5,0.8,0.6,1.8,2.4,21.0,123.0,117.0,
70.0,Derik Queen,21.0,NOP,C,46.0,34.0,1196.0,8.8,17.9,0.49,0.3,1.7,0.19,8.5,16.3,0.521,0.499,4.8,6.2,0.786,3.2,10.5,13.7,8.1,2.0,1.7,4.6,5.2,22.7,109.0,116.0,
71.0,Saddiq Bey,26.0,NOP,SF,40.0,32.0,1195.0,8.7,19.3,0.45,2.7,8.1,0.335,6.0,11.2,0.534,0.521,5.0,6.0,0.828,2.6,6.3,8.9,3.6,1.5,0.1,1.0,1.8,25.1,125.0,122.0,
72.0,Myles Turner,29.0,MIL,C,42.0,42.0,1190.0,7.0,16.4,0.426,3.8,9.8,0.388,3.2,6.5,0.484,0.543,3.5,4.6,0.761,2.1,7.2,9.3,2.7,1.1,2.7,1.7,4.6,21.3,115.0,115.0,
73.0,Ivica Zubac,28.0,LAC,C,38.0,37.0,1187.0,10.2,16.9,0.603,0.0,0.0,,10.2,16.9,0.603,0.603,3.5,4.7,0.732,5.9,11.8,17.7,3.7,0.6,1.4,3.1,3.9,23.8,124.0,116.0,
74.0,Lauri Markkanen,28.0,UTA,PF,33.0,33.0,1187.0,12.5,25.8,0.483,3.8,10.4,0.365,8.7,15.4,0.563,0.557,7.9,8.9,0.884,2.6,6.8,9.4,2.8,1.4,0.6,2.1,2.6,36.6,123.0,124.0,
75.0,Duncan Robinson,31.0,DET,SF,41.0,41.0,1183.0,6.7,15.3,0.438,4.9,12.1,0.403,1.8,3.2,0.57,0.597,1.9,2.6,0.734,0.6,4.0,4.6,3.1,1.2,0.6,1.2,3.6,20.1,126.0,114.0,
