Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
23.0,Onyeka Okongwu,25.0,ATL,C,45.0,34.0,1443.0,0.484,13.6,0.569,0.228,0.288,0.049,0.004,0.431,0.571,0.721,0.46,0.571,0.0,0.369,0.723,1.0,0.074,38.0,0.27,0.379,0.0,0.0,
24.0,Donte DiVincenzo,29.0,MIN,SG,45.0,45.0,1435.0,0.414,20.7,0.244,0.099,0.099,0.031,0.014,0.756,0.534,0.625,0.479,0.467,0.429,0.375,0.619,0.927,0.017,7.0,0.219,0.363,0.0,0.0,
25.0,Immanuel Quickley,26.0,TOR,PG,44.0,44.0,1433.0,0.439,17.6,0.478,0.112,0.175,0.154,0.037,0.522,0.525,0.712,0.456,0.484,0.455,0.36,0.446,0.838,0.005,3.0,0.117,0.306,0.0,0.0,
26.0,Derrick White,31.0,BOS,SG,42.0,42.0,1432.0,0.391,19.6,0.413,0.06,0.162,0.12,0.071,0.587,0.489,0.744,0.41,0.5,0.435,0.323,0.443,0.634,0.011,7.0,0.102,0.359,0.0,0.0,
27.0,Donovan Mitchell,29.0,CLE,SG,42.0,42.0,1431.0,0.482,16.6,0.521,0.185,0.161,0.1,0.076,0.479,0.573,0.658,0.55,0.552,0.439,0.383,0.246,0.613,0.016,11.0,0.103,0.419,0.0,0.0,
28.0,Cooper Flagg,19.0,DAL,SF,42.0,42.0,1421.0,0.477,11.7,0.771,0.231,0.294,0.136,0.111,0.229,0.535,0.76,0.452,0.523,0.3,0.283,0.398,0.707,0.074,40.0,0.159,0.174,0.0,0.0,
29.0,Kon Knueppel,20.0,CHO,SF,44.0,43.0,1417.0,0.482,17.5,0.427,0.156,0.176,0.071,0.023,0.573,0.56,0.702,0.462,0.605,0.214,0.423,0.59,0.925,0.023,13.0,0.226,0.513,1.0,0.0,
30.0,Payton Pritchard,28.0,BOS,PG,43.0,43.0,1413.0,0.451,18.8,0.473,0.077,0.16,0.176,0.06,0.527,0.57,0.761,0.604,0.538,0.333,0.344,0.191,0.752,0.0,0.0,0.076,0.5,0.0,0.0,
31.0,Jaylen Brown,29.0,BOS,SF,41.0,41.0,1411.0,0.483,14.1,0.733,0.141,0.252,0.181,0.159,0.267,0.526,0.769,0.478,0.431,0.493,0.366,0.304,0.489,0.024,14.0,0.102,0.36,0.0,0.0,
32.0,VJ Edgecombe,20.0,PHI,SG,39.0,39.0,1399.0,0.429,14.8,0.569,0.257,0.161,0.087,0.064,0.431,0.475,0.596,0.365,0.391,0.382,0.368,0.476,0.869,0.07,31.0,0.136,0.29,0.0,0.0,
