Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
28,Jaylen Brown,SF,26,BOS,20,20,751,12.2,24.5,.496,2.7,7.6,.354,9.5,16.9,.560,3.4,5.0,.689,1.7,5.9,7.5,4.6,1.4,0.5,4.4,4.1,30.5,,106,115
29,Troy Brown Jr.,SF,23,LAL,12,0,124,3.9,11.0,.357,0.8,5.9,.133,3.2,5.1,.615,0.0,0.0,,1.6,7.9,9.5,4.3,0.8,0.4,0.0,1.6,8.7,,105,114
30,Jalen Brunson,PG,26,NYK,11,11,443,12.8,27.1,.474,3.1,9.4,.325,9.8,17.7,.553,7.3,8.0,.912,1.1,5.3,6.4,7.3,1.9,0.1,2.7,3.1,36.1,,125,110
31,Thomas Bryant,C,25,DEN,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
32,Jimmy Butler,PF,33,MIA,22,22,874,12.0,25.7,.468,1.6,4.5,.359,10.4,21.1,.492,8.7,10.8,.806,2.7,5.5,8.2,7.5,2.3,0.8,2.4,2.1,34.4,,121,112
33,Kentavious Caldwell-Pope,SG,29,DEN,20,20,671,5.6,12.3,.457,2.7,7.0,.380,3.0,5.3,.557,2.2,2.7,.829,1.1,3.9,4.9,2.3,2.0,1.0,1.1,3.6,16.1,,121,111
34,Vlatko ÄanÄar,PF,25,DEN,5,0,10,0.0,25.4,.000,0.0,20.3,.000,0.0,5.1,.000,0.0,0.0,,0.0,15.2,15.2,5.1,0.0,0.0,0.0,0.0,0.0,,15,112
35,Clint Capela,C,28,ATL,6,6,151,7.3,12.0,.605,0.0,0.0,,7.3,12.0,.605,1.3,1.9,.667,4.7,11.0,15.8,0.9,1.9,0.9,1.3,1.6,15.8,,127,118
36,Jevon Carter,PG,27,MIL,4,0,49,1.9,8.6,.222,1.0,6.7,.143,1.0,1.9,.500,0.0,0.0,,0.0,3.8,3.8,3.8,1.0,0.0,0.0,1.0,4.8,,84,122
37,Justin Champagnie,SF,21,BOS,4,0,10,5.1,20.2,.250,0.0,15.2,.000,5.1,5.1,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,10.1,,55,122
38,Max Christie,SG,19,LAL,9,0,33,7.4,14.8,.500,1.5,5.9,.250,5.9,8.9,.667,3.0,5.9,.500,1.5,8.9,10.4,4.4,0.0,1.5,0.0,0.0,19.3,,124,113
