Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
91,De'Andre Hunter,SF,25,ATL,6,6,224,39,85,.459,14,38,.368,25,47,.532,.541,8,10,.800,7,27,34,7,4,2,9,20,100
92,Bones Hyland,PG,22,LAC,5,0,82,15,44,.341,5,20,.250,10,24,.417,.398,8,10,.800,1,3,4,4,4,1,4,9,43
93,Joe Ingles,SF,35,MIL,5,0,89,12,23,.522,10,20,.500,2,3,.667,.739,0,0,,1,5,6,10,3,1,6,7,34
94,Jaren Jackson Jr.,C,23,MEM,6,6,220,35,83,.422,7,25,.280,28,58,.483,.464,31,36,.861,20,27,47,9,6,12,18,24,108
95,Reggie Jackson,PG,32,DEN,6,0,18,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,2,2,2,1,0,1,0,3
96,LeBron James,PF,38,LAL,16,16,619,147,295,.498,28,106,.264,119,189,.630,.546,70,92,.761,25,133,158,104,17,18,40,28,392
97,DaQuan Jeffries,SG,25,NYK,2,0,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,2,0
98,Cameron Johnson,PF,26,BRK,4,4,152,28,55,.509,12,28,.429,16,27,.593,.618,6,7,.857,3,20,23,11,3,1,5,10,74
99,Jalen Johnson,SF,21,ATL,6,0,56,10,24,.417,4,11,.364,6,13,.462,.500,2,2,1.000,2,13,15,8,3,0,5,5,26
100,Nikola JokiÄ,C,27,DEN,20,20,789,227,414,.548,35,76,.461,192,338,.568,.591,111,139,.799,69,200,269,190,21,20,70,69,600
101,Tyus Jones,PG,26,MEM,6,1,120,11,36,.306,3,19,.158,8,17,.471,.347,2,3,.667,3,15,18,22,8,0,8,5,27
102,DeAndre Jordan,C,34,DEN,4,0,14,2,3,.667,0,0,,2,3,.667,.667,1,2,.500,0,4,4,1,0,1,2,2,5
103,Nikola JoviÄ,PF,19,MIA,7,0,13,1,4,.250,0,2,.000,1,2,.500,.250,0,0,,1,4,5,0,0,0,0,0,2
104,Luke Kennard,SG,26,MEM,5,0,107,12,23,.522,8,16,.500,4,7,.571,.696,4,4,1.000,5,15,20,7,4,0,1,8,36
105,Nathan Knight,C,25,MIN,2,0,5,1,4,.250,0,2,.000,1,2,.500,.250,0,0,,1,0,1,0,0,0,1,0,2
106,John Konchar,SF,26,MEM,5,0,49,2,9,.222,0,4,.000,2,5,.400,.222,0,0,,4,6,10,4,2,2,1,6,4
107,Furkan Korkmaz,SG,25,PHI,3,0,11,0,2,.000,0,1,.000,0,1,.000,.000,2,2,1.000,0,1,1,1,0,0,1,0,2
108,Luke Kornet,C,27,BOS,8,0,32,7,8,.875,1,1,1.000,6,7,.857,.938,2,2,1.000,5,5,10,0,0,1,0,2,17
109,Jonathan Kuminga,PF,20,GSW,10,0,61,13,24,.542,3,7,.429,10,17,.588,.604,5,9,.556,4,5,9,5,2,0,4,5,34
110,Anthony Lamb,SF,25,GSW,6,0,31,2,5,.400,1,4,.250,1,1,1.000,.500,0,0,,1,5,6,0,1,1,2,3,5
111,Jock Landale,C,27,PHO,7,1,113,17,27,.630,0,1,.000,17,26,.654,.630,9,14,.643,10,18,28,3,3,3,2,15,43
112,Damion Lee,SG,30,PHO,8,0,89,6,20,.300,3,15,.200,3,5,.600,.375,2,2,1.000,4,7,11,5,2,0,1,8,17
113,Alex Len,C,29,SAC,7,0,54,7,9,.778,0,0,,7,9,.778,.778,5,6,.833,7,13,20,1,0,3,7,15,19
114,Kawhi Leonard,SF,31,LAC,2,2,80,24,44,.545,6,10,.600,18,34,.529,.614,15,17,.882,3,10,13,12,4,1,6,5,69
115,Meyers Leonard,C,30,MIL,2,0,5,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0
116,Caris LeVert,SG,28,CLE,5,3,170,27,63,.429,13,36,.361,14,27,.519,.532,8,13,.615,4,19,23,13,2,1,5,10,75
117,Kenneth Lofton Jr.,PF,20,MEM,4,0,12,3,8,.375,0,2,.000,3,6,.500,.375,1,2,.500,1,2,3,1,0,0,0,0,7
118,Kevon Looney,C,26,GSW,13,8,325,37,64,.578,0,0,,37,64,.578,.578,10,18,.556,61,109,170,43,8,5,13,36,84
119,Brook Lopez,C,34,MIL,5,5,182,39,67,.582,7,17,.412,32,50,.640,.634,10,13,.769,14,18,32,6,7,9,11,10,95
120,Robin Lopez,C,34,CLE,2,0,6,3,3,1.000,0,0,,3,3,1.000,1.000,2,2,1.000,1,0,1,0,0,0,1,2,8
121,Kevin Love,PF,34,MIA,20,18,359,45,119,.378,33,88,.375,12,31,.387,.517,14,16,.875,14,97,111,24,9,7,10,35,137
122,Kyle Lowry,PG,36,MIA,23,1,599,74,174,.425,33,88,.375,41,86,.477,.520,31,33,.939,12,69,81,101,24,14,40,59,212
123,Trey Lyles,PF,27,SAC,7,0,118,17,40,.425,9,27,.333,8,13,.615,.538,3,5,.600,9,31,40,5,2,0,3,12,46
124,Terance Mann,SG,26,LAC,5,0,133,19,33,.576,9,19,.474,10,14,.714,.712,6,9,.667,7,9,16,11,4,1,9,17,53
125,Caleb Martin,SF,27,MIA,23,4,694,109,206,.529,44,104,.423,65,102,.637,.636,29,35,.829,27,98,125,36,20,9,24,55,291
126,Wesley Matthews,SF,36,MIL,2,0,41,4,9,.444,4,7,.571,0,2,.000,.667,0,0,,1,2,3,1,2,1,0,3,12
127,Tyrese Maxey,SG,22,PHI,11,11,423,82,192,.427,34,85,.400,48,107,.449,.516,28,31,.903,9,44,53,25,15,5,8,26,226
