Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1,Precious Achiuwa,PF,24,NYK,9,2,184,6.0,12.2,.488,0.0,0.9,.000,6.0,11.4,.525,1.4,3.7,.385,6.2,4.5,10.8,1.4,1.1,3.4,1.1,5.7,13.3,,115,120
2,Bam Adebayo,C,26,MIA,5,5,192,13.2,26.7,.495,0.6,2.8,.200,12.7,24.0,.529,4.1,5.8,.714,3.0,9.9,12.9,5.2,0.6,0.0,2.2,4.1,31.1,,108,119
3,Nickeil Alexander-Walker,SG,25,MIN,16,1,378,5.7,15.5,.366,3.3,11.2,.296,2.4,4.3,.548,1.4,1.4,1.000,0.7,3.2,3.9,5.1,1.4,1.0,2.1,3.3,16.0,,105,115
4,Grayson Allen,SG,28,PHO,2,2,43,1.2,6.0,.200,1.2,6.0,.200,0.0,0.0,,4.8,4.8,1.000,2.4,7.2,9.5,2.4,1.2,0.0,3.6,4.8,8.4,,93,127
5,Jarrett Allen,C,25,CLE,4,4,127,10.2,15.1,.676,0.0,0.0,,10.2,15.1,.676,7.3,10.6,.692,6.1,16.3,22.4,2.0,2.0,1.6,2.0,3.3,27.7,,137,103
6,Jose Alvarado,PG,25,NOP,4,0,62,2.5,16.4,.150,0.8,11.5,.071,1.6,4.9,.333,0.0,0.0,,0.0,3.3,3.3,7.4,4.1,0.8,3.3,2.5,5.7,,51,109
7,Kyle Anderson,PF,30,MIN,15,1,231,5.9,12.9,.456,0.5,1.8,.250,5.4,11.1,.490,2.3,2.7,.833,4.1,5.0,9.0,8.6,2.3,1.1,2.3,5.9,14.5,,121,112
8,Thanasis Antetokounmpo,PF,31,MIL,2,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,10.3,10.3,0.0,10.3,0.0,,,90
9,Cole Anthony,PG,23,ORL,7,0,103,6.4,20.2,.317,1.0,6.4,.154,5.4,13.8,.393,3.9,4.4,.889,1.0,6.4,7.4,4.4,2.0,0.5,2.5,7.9,17.7,,88,102
10,OG Anunoby,SF,26,NYK,9,9,324,9.0,17.9,.505,2.6,6.3,.410,6.4,11.6,.556,1.3,2.1,.615,1.1,7.6,8.7,1.6,1.3,1.5,1.6,2.4,21.9,,116,120
11,Paolo Banchero,PF,21,ORL,7,7,262,13.2,28.9,.456,3.1,7.7,.400,10.1,21.1,.477,7.2,9.5,.755,2.7,8.9,11.6,5.4,1.5,0.8,6.2,2.7,36.6,,104,101
12,Nicolas Batum,PF,35,PHI,6,0,170,3.7,9.0,.414,2.8,6.8,.409,0.9,2.2,.429,1.6,2.5,.625,2.8,8.1,10.9,2.5,0.3,1.6,1.6,4.0,11.8,,119,118
13,Bradley Beal,SG,30,PHO,4,4,154,8.7,19.7,.441,3.3,7.7,.435,5.3,12.0,.444,1.3,1.7,.800,2.0,1.7,3.7,6.0,1.0,0.3,4.3,5.0,22.0,,100,132
14,Malik Beasley,SG,27,MIL,6,2,131,8.2,16.1,.512,4.3,9.8,.440,3.9,6.3,.625,0.0,0.0,,0.4,5.5,5.9,1.6,1.6,0.0,1.2,3.5,20.8,,121,120
15,MarJon Beauchamp,SF,23,MIL,4,0,10,5.1,20.6,.250,0.0,10.3,.000,5.1,10.3,.500,5.1,10.3,.500,0.0,5.1,5.1,10.3,0.0,0.0,5.1,5.1,15.4,,71,124
16,Patrick Beverley,PG,35,MIL,6,6,210,3.9,9.6,.410,1.0,2.7,.364,2.9,6.9,.429,3.2,3.7,.867,1.0,3.9,4.9,8.1,1.5,1.0,1.5,3.9,12.0,,123,120
17,Goga Bitadze,C,24,ORL,2,0,10,0.0,10.1,.000,0.0,0.0,,0.0,10.1,.000,0.0,0.0,,5.1,10.1,15.2,10.1,0.0,0.0,5.1,0.0,0.0,,52,105
18,Anthony Black,PG,20,ORL,2,0,11,13.8,32.3,.429,0.0,9.2,.000,13.8,23.1,.600,0.0,0.0,,4.6,4.6,9.2,9.2,4.6,0.0,4.6,4.6,27.7,,94,98
19,Bojan BogdanoviÄ,SF,34,NYK,4,0,51,7.2,24.6,.292,6.1,15.4,.400,1.0,9.2,.111,4.1,7.2,.571,1.0,11.3,12.3,4.1,0.0,1.0,1.0,3.1,24.6,,104,121
20,Bol Bol,PF,24,PHO,3,0,13,3.9,11.8,.333,0.0,0.0,,3.9,11.8,.333,0.0,0.0,,0.0,15.8,15.8,0.0,3.9,0.0,0.0,7.9,7.9,,69,113
21,Devin Booker,PG,27,PHO,4,4,166,9.9,20.1,.492,2.2,6.2,.350,7.7,13.9,.556,12.1,12.7,.951,0.3,3.7,4.0,7.4,2.2,0.3,3.4,5.6,34.0,,128,128
