Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,PF,24,NYK,9,2,184,21,43,.488,0,3,.000,21,40,.525,.488,5,13,.385,22,16,38,5,4,12,4,20,47
2,Bam Adebayo,C,26,MIA,5,5,192,48,97,.495,2,10,.200,46,87,.529,.505,15,21,.714,11,36,47,19,2,0,8,15,113
3,Nickeil Alexander-Walker,SG,25,MIN,16,1,378,41,112,.366,24,81,.296,17,31,.548,.473,10,10,1.000,5,23,28,37,10,7,15,24,116
4,Grayson Allen,SG,28,PHO,2,2,43,1,5,.200,1,5,.200,0,0,,.300,4,4,1.000,2,6,8,2,1,0,3,4,7
5,Jarrett Allen,C,25,CLE,4,4,127,25,37,.676,0,0,,25,37,.676,.676,18,26,.692,15,40,55,5,5,4,5,8,68
6,Jose Alvarado,PG,25,NOP,4,0,62,3,20,.150,1,14,.071,2,6,.333,.175,0,0,,0,4,4,9,5,1,4,3,7
7,Kyle Anderson,PF,30,MIN,15,1,231,26,57,.456,2,8,.250,24,49,.490,.474,10,12,.833,18,22,40,38,10,5,10,26,64
8,Thanasis Antetokounmpo,PF,31,MIL,2,0,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,1,0,1,0
9,Cole Anthony,PG,23,ORL,7,0,103,13,41,.317,2,13,.154,11,28,.393,.341,8,9,.889,2,13,15,9,4,1,5,16,36
10,OG Anunoby,SF,26,NYK,9,9,324,56,111,.505,16,39,.410,40,72,.556,.577,8,13,.615,7,47,54,10,8,9,10,15,136
11,Paolo Banchero,PF,21,ORL,7,7,262,68,149,.456,16,40,.400,52,109,.477,.510,37,49,.755,14,46,60,28,8,4,32,14,189
12,Nicolas Batum,PF,35,PHI,6,0,170,12,29,.414,9,22,.409,3,7,.429,.569,5,8,.625,9,26,35,8,1,5,5,13,38
13,Bradley Beal,SG,30,PHO,4,4,154,26,59,.441,10,23,.435,16,36,.444,.525,4,5,.800,6,5,11,18,3,1,13,15,66
14,Malik Beasley,SG,27,MIL,6,2,131,21,41,.512,11,25,.440,10,16,.625,.646,0,0,,1,14,15,4,4,0,3,9,53
15,MarJon Beauchamp,SF,23,MIL,4,0,10,1,4,.250,0,2,.000,1,2,.500,.250,1,2,.500,0,1,1,2,0,0,1,1,3
16,Patrick Beverley,PG,35,MIL,6,6,210,16,39,.410,4,11,.364,12,28,.429,.462,13,15,.867,4,16,20,33,6,4,6,16,49
17,Goga Bitadze,C,24,ORL,2,0,10,0,2,.000,0,0,,0,2,.000,.000,0,0,,1,2,3,2,0,0,1,0,0
18,Anthony Black,PG,20,ORL,2,0,11,3,7,.429,0,2,.000,3,5,.600,.429,0,0,,1,1,2,2,1,0,1,1,6
19,Bojan BogdanoviÄ,SF,34,NYK,4,0,51,7,24,.292,6,15,.400,1,9,.111,.417,4,7,.571,1,11,12,4,0,1,1,3,24
20,Bol Bol,PF,24,PHO,3,0,13,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,4,4,0,1,0,0,2,2
21,Devin Booker,PG,27,PHO,4,4,166,32,65,.492,7,20,.350,25,45,.556,.546,39,41,.951,1,12,13,24,7,1,11,18,110
22,Brandon Boston Jr.,SF,22,LAC,3,0,10,2,4,.500,0,0,,2,4,.500,.500,1,2,.500,1,1,2,1,0,0,0,2,5
23,Christian Braun,SG,22,DEN,12,0,204,23,54,.426,4,18,.222,19,36,.528,.463,11,16,.688,9,23,32,9,2,5,1,18,61
24,Oshae Brissett,SF,25,BOS,10,0,55,6,11,.545,2,2,1.000,4,9,.444,.636,2,4,.500,3,11,14,0,3,2,1,2,16
25,Jaylen Brown,SF,27,BOS,19,19,707,175,339,.516,36,110,.327,139,229,.607,.569,68,103,.660,22,91,113,62,23,12,51,51,454
26,Kendall Brown,SG,20,IND,7,0,25,2,6,.333,0,0,,2,6,.333,.333,0,0,,0,3,3,2,0,1,3,2,4
27,Kobe Brown,PF,24,LAC,3,0,10,0,0,,0,0,,0,0,,,0,0,,1,1,2,0,0,0,0,1,0
28,Jalen Brunson,PG,27,NYK,13,13,518,151,340,.444,26,84,.310,125,256,.488,.482,93,120,.775,8,35,43,97,10,2,35,26,421
29,Thomas Bryant,C,26,MIA,2,0,18,5,7,.714,0,2,.000,5,5,1.000,.714,2,3,.667,2,3,5,1,0,0,2,1,12
30,Alec Burks,SG,32,NYK,6,0,121,25,50,.500,12,28,.429,13,22,.591,.620,27,32,.844,4,16,20,6,1,1,0,6,89
31,Kentavious Caldwell-Pope,SG,30,DEN,12,12,420,34,86,.395,18,55,.327,16,31,.516,.500,11,11,1.000,5,30,35,31,17,5,10,37,97
32,Wendell Carter Jr.,C,24,ORL,7,5,185,19,47,.404,7,25,.280,12,22,.545,.479,8,11,.727,9,35,44,9,5,4,5,20,53
33,Amir Coffey,SF,26,LAC,6,3,112,7,22,.318,3,11,.273,4,11,.364,.386,0,0,,2,8,10,2,2,1,5,6,17
34,Mike Conley,PG,36,MIN,15,15,474,62,145,.428,30,76,.395,32,69,.464,.531,20,28,.714,10,48,58,86,21,3,20,38,174
35,Pat Connaughton,SF,31,MIL,6,0,124,11,25,.440,3,11,.273,8,14,.571,.500,2,2,1.000,3,20,23,13,6,1,3,6,27
36,Jae Crowder,PF,33,MIL,4,0,42,3,12,.250,1,7,.143,2,5,.400,.292,2,2,1.000,2,4,6,2,0,2,0,4,9
37,Dyson Daniels,PG,20,NOP,3,0,17,2,6,.333,0,2,.000,2,4,.500,.333,0,0,,0,2,2,0,2,0,1,0,4
38,Anthony Davis,C,30,LAL,5,5,208,59,93,.634,0,5,.000,59,88,.670,.634,21,26,.808,15,63,78,20,2,8,11,19,139
39,Mamadi Diakite,PF,27,NYK,4,0,15,0,3,.000,0,2,.000,0,1,.000,.000,2,2,1.000,0,3,3,1,1,1,1,3,2
40,Ousmane Dieng,PF,20,OKC,4,0,7,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,0,0,0,0,0,0,0,2
41,Spencer Dinwiddie,PG,30,LAL,5,0,73,5,14,.357,2,8,.250,3,6,.500,.429,3,6,.500,1,6,7,8,2,1,1,7,15
42,Donte DiVincenzo,SG,27,NYK,13,13,466,80,191,.419,45,106,.425,35,85,.412,.537,26,30,.867,13,39,52,34,16,12,16,29,231
43,Luka DonÄiÄ,PG,24,DAL,22,22,900,225,504,.446,68,211,.322,157,293,.536,.514,117,153,.765,16,192,208,178,41,8,90,56,635
44,Luguentz Dort,SF,24,OKC,10,10,350,33,91,.363,25,64,.391,8,27,.296,.500,16,19,.842,19,27,46,20,13,2,11,42,107
45,Kevin Durant,PF,35,PHO,4,4,168,37,67,.552,5,12,.417,32,55,.582,.590,28,34,.824,1,25,26,13,2,6,10,8,107
