column
Rk
Player
Age
Team
Pos
G
GS
MP
FG
FGA
FG%
3P
3PA
3P%
2P
2PA
2P%
eFG%
FT
FTA
FT%
ORB
DRB
TRB
AST
STL
BLK
TOV
PF
PTS
season
tot_Rk
tot_Age
tot_Pos
tot_G
tot_GS
tot_MP
tot_FG
tot_FGA
tot_FG%
tot_3P
tot_3PA
tot_3P%
tot_2P
tot_2PA
tot_2P%
tot_eFG%
tot_FT
tot_FTA
tot_FT%
tot_ORB
tot_DRB
tot_TRB
tot_AST
tot_STL
tot_BLK
tot_TOV
tot_PF
tot_PTS
tot_Trp-Dbl
p36_Rk
p36_Age
p36_Pos
p36_G
p36_GS
p36_MP
p36_FG
p36_FGA
p36_FG%
p36_3P
p36_3PA
p36_3P%
p36_2P
p36_2PA
p36_2P%
p36_eFG%
p36_FT
p36_FTA
p36_FT%
p36_ORB
p36_DRB
p36_TRB
p36_AST
p36_STL
p36_BLK
p36_TOV
p36_PF
p36_PTS
p100_Rk
p100_Age
p100_Pos
p100_G
p100_GS
p100_MP
p100_FG
p100_FGA
p100_FG%
p100_3P
p100_3PA
p100_3P%
p100_2P
p100_2PA
p100_2P%
p100_eFG%
p100_FT
p100_FTA
p100_FT%
p100_ORB
p100_DRB
p100_TRB
p100_AST
p100_STL
p100_BLK
p100_TOV
p100_PF
p100_PTS
p100_ORtg
p100_DRtg
adv_Rk
adv_Age
adv_Pos
adv_G
adv_GS
adv_MP
adv_PER
adv_TS%
adv_3PAr
adv_FTr
adv_ORB%
adv_DRB%
adv_TRB%
adv_AST%
adv_STL%
adv_BLK%
adv_TOV%
adv_USG%
adv_OWS
adv_DWS
adv_WS
adv_WS/48
adv_OBPM
adv_DBPM
adv_BPM
adv_VORP
adj_Rk
adj_Age
adj_Pos
adj_G
adj_GS
adj_MP
adj_FG%
adj_2P%
adj_3P%
adj_eFG%
adj_FT%
adj_TS%
adj_FTr
adj_3PAr
adj_FG+
adj_2P+
adj_3P+
adj_eFG+
adj_FT+
adj_TS+
adj_FTr+
