Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
18.0,Bam Adebayo,25.0,MIA,C,75.0,75.0,2598.0,0.54,7.3,0.989,0.295,0.379,0.26,0.047,0.011,0.545,0.714,0.479,0.497,0.288,0.083,0.594,1.0,0.136,139.0,0.0,,1.0,0.0,"DPOY-5,AS,DEF2"
19.0,Trae Young,24.0,ATL,PG,73.0,73.0,2541.0,0.429,14.9,0.669,0.155,0.243,0.147,0.114,0.331,0.476,0.546,0.426,0.527,0.409,0.335,0.167,0.318,0.0,0.0,0.05,0.304,2.0,0.0,
20.0,Fred VanVleet,28.0,TOR,PG,69.0,69.0,2535.0,0.393,18.4,0.455,0.12,0.144,0.088,0.101,0.545,0.455,0.586,0.375,0.398,0.455,0.342,0.187,0.585,0.0,0.0,0.119,0.431,6.0,0.0,
21.0,Buddy Hield,30.0,IND,SF,80.0,73.0,2482.0,0.458,19.2,0.348,0.151,0.084,0.044,0.066,0.652,0.518,0.688,0.345,0.413,0.42,0.425,0.556,0.878,0.012,12.0,0.167,0.478,1.0,0.0,
22.0,RJ Barrett,22.0,NYK,SG,73.0,73.0,2475.0,0.434,11.5,0.668,0.299,0.287,0.06,0.023,0.332,0.495,0.642,0.401,0.3,0.259,0.31,0.424,0.926,0.029,29.0,0.29,0.319,0.0,0.0,
23.0,Jordan Poole,23.0,GSW,PG,82.0,43.0,2458.0,0.43,17.3,0.502,0.134,0.21,0.081,0.077,0.498,0.524,0.696,0.517,0.379,0.398,0.336,0.446,0.701,0.024,27.0,0.118,0.333,8.0,0.0,
24.0,Josh Hart,27.0,2TM,SF,76.0,52.0,2454.0,0.529,10.6,0.685,0.444,0.15,0.065,0.025,0.315,0.601,0.736,0.41,0.265,0.231,0.372,0.444,1.0,0.019,10.0,0.415,0.412,0.0,0.0,
24.0,Josh Hart,27.0,POR,SF,51.0,51.0,1704.0,0.504,10.6,0.691,0.455,0.132,0.072,0.033,0.309,0.594,0.715,0.438,0.269,0.25,0.304,0.47,1.0,0.019,7.0,0.438,0.327,0.0,0.0,
24.0,Josh Hart,27.0,NYK,SF,25.0,1.0,750.0,0.586,10.5,0.669,0.42,0.191,0.051,0.006,0.331,0.619,0.788,0.367,0.25,0.0,0.519,0.385,1.0,0.019,3.0,0.365,0.632,0.0,0.0,
25.0,Jabari Smith Jr.,19.0,HOU,PF,79.0,79.0,2451.0,0.408,16.2,0.562,0.155,0.178,0.12,0.109,0.438,0.487,0.725,0.39,0.458,0.34,0.307,0.648,0.883,0.054,42.0,0.176,0.348,1.0,0.0,
26.0,Trey Murphy III,22.0,NOP,SF,79.0,65.0,2448.0,0.484,17.7,0.379,0.201,0.129,0.02,0.026,0.621,0.611,0.758,0.495,0.188,0.333,0.406,0.659,0.946,0.124,85.0,0.266,0.424,1.0,0.0,
27.0,Darius Garland,23.0,CLE,PG,69.0,69.0,2447.0,0.462,14.8,0.635,0.17,0.226,0.128,0.102,0.365,0.492,0.615,0.451,0.521,0.357,0.41,0.286,0.568,0.004,4.0,0.087,0.389,1.0,0.0,
28.0,Tobias Harris,30.0,PHI,SF,74.0,74.0,2436.0,0.501,13.2,0.617,0.26,0.22,0.102,0.034,0.383,0.57,0.709,0.473,0.453,0.483,0.389,0.495,0.937,0.07,51.0,0.389,0.405,0.0,0.0,
29.0,De'Aaron Fox,25.0,SAC,PG,73.0,73.0,2435.0,0.512,13.5,0.724,0.171,0.251,0.194,0.108,0.276,0.584,0.803,0.569,0.488,0.444,0.324,0.16,0.613,0.033,41.0,0.128,0.255,0.0,0.0,"MVP-11,CPOY-1,AS,NBA3"
30.0,Donovan Mitchell,26.0,CLE,SG,68.0,68.0,2432.0,0.484,16.0,0.547,0.207,0.148,0.078,0.098,0.453,0.566,0.7,0.524,0.486,0.431,0.386,0.258,0.469,0.029,36.0,0.054,0.382,6.0,0.0,"MVP-6,CPOY-6,AS,NBA2"
31.0,Paolo Banchero,20.0,ORL,PF,72.0,72.0,2430.0,0.427,12.4,0.746,0.242,0.253,0.124,0.127,0.254,0.471,0.658,0.38,0.41,0.352,0.298,0.404,0.706,0.054,52.0,0.123,0.343,1.0,0.0,ROY-1
32.0,Jaden McDaniels,22.0,MIN,SF,79.0,79.0,2416.0,0.517,12.5,0.624,0.288,0.215,0.088,0.034,0.376,0.588,0.752,0.461,0.444,0.375,0.398,0.658,0.991,0.115,72.0,0.506,0.419,2.0,0.0,
33.0,Shai Gilgeous-Alexander,24.0,OKC,PG,68.0,68.0,2416.0,0.51,9.8,0.878,0.283,0.276,0.246,0.073,0.122,0.533,0.678,0.438,0.512,0.396,0.345,0.201,0.31,0.039,50.0,0.101,0.235,1.0,0.0,"MVP-5,CPOY-7,AS,NBA1"
34.0,Royce O'Neale,29.0,BRK,SF,76.0,53.0,2409.0,0.386,19.6,0.293,0.155,0.118,0.015,0.005,0.707,0.379,0.489,0.271,0.222,0.0,0.389,0.394,0.975,0.01,5.0,0.15,0.349,3.0,0.0,
35.0,Jaylen Brown,26.0,BOS,SF,67.0,67.0,2405.0,0.491,13.6,0.648,0.237,0.203,0.101,0.093,0.352,0.576,0.741,0.477,0.543,0.406,0.335,0.467,0.687,0.052,63.0,0.125,0.279,1.0,0.0,"AS,NBA2"
36.0,Luka DonÄiÄ,23.0,DAL,PG,66.0,66.0,2391.0,0.496,14.7,0.627,0.176,0.252,0.145,0.054,0.373,0.588,0.745,0.578,0.51,0.333,0.342,0.131,0.216,0.01,12.0,0.041,0.273,8.0,0.0,"MVP-8,CPOY-8,AS,NBA1"
37.0,OG Anunoby,25.0,TOR,SF,67.0,67.0,2386.0,0.476,13.5,0.585,0.293,0.173,0.062,0.056,0.415,0.539,0.695,0.366,0.364,0.46,0.387,0.566,0.937,0.13,103.0,0.392,0.458,1.0,0.0,"DPOY-7,DEF2"
38.0,Keegan Murray,22.0,SAC,SF,80.0,78.0,2382.0,0.453,17.8,0.359,0.179,0.106,0.042,0.027,0.641,0.527,0.671,0.349,0.455,0.333,0.411,0.689,0.966,0.058,39.0,0.277,0.439,0.0,0.0,ROY-5
39.0,Kentavious Caldwell-Pope,29.0,DEN,SG,76.0,76.0,2381.0,0.462,17.3,0.495,0.136,0.114,0.081,0.155,0.505,0.502,0.686,0.403,0.431,0.449,0.423,0.828,0.926,0.024,12.0,0.411,0.405,1.0,0.0,
