Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Ochai Agbaji,"Oct 19, '22, UTA vs. DEN",22,4,210,4714,618,1378,245,704,132,181,180,598,254,126,90,162,357,1613,.448,.348,.729,22.4,7.7,2.8,1.2,0.6,0.4
2,Patrick Baldwin Jr.,"Oct 30, '22, GSW @ DET",20,3,93,826,121,299,76,204,25,38,23,188,43,27,21,35,77,343,.405,.373,.658,8.9,3.7,2.0,0.5,0.3,0.2
3,Paolo Banchero,"Oct 19, '22, ORL @ DET",20,4,210,7204,1613,3618,302,952,1164,1589,228,1500,968,176,125,615,439,4692,.446,.317,.733,34.3,22.3,7.1,4.6,0.8,0.6
4,Dominick Barlow,"Nov 2, '22, SAS vs. TOR",19,4,100,1303,174,334,12,47,74,108,137,321,87,34,52,36,160,434,.521,.255,.685,13.0,4.3,3.2,0.9,0.3,0.5
5,MarJon Beauchamp,"Oct 22, '22, MIL vs. HOU",22,3,135,1465,204,474,87,246,61,85,71,258,77,38,15,87,139,556,.430,.354,.718,10.9,4.1,1.9,0.6,0.3,0.1
6,Buddy Boeheim,"Oct 21, '22, DET @ NYK",23,2,20,174,14,56,12,50,10,12,5,16,7,2,1,0,11,50,.250,.240,.833,8.7,2.5,0.8,0.4,0.1,0.1
7,Jamaree Bouyea,"Feb 10, '23, MIA vs. HOU",23,4,20,231,23,56,5,21,5,8,5,30,26,9,5,21,18,56,.411,.238,.625,11.6,2.8,1.5,1.3,0.5,0.3
8,Malaki Branham,"Oct 30, '22, SAS vs. MIN",19,4,193,3605,633,1440,205,612,146,174,66,388,324,71,17,202,240,1617,.440,.335,.839,18.7,8.4,2.0,1.7,0.4,0.1
9,Christian Braun,"Oct 19, '22, DEN @ UTA",21,4,248,5836,889,1690,192,512,333,441,243,945,429,177,92,185,432,2303,.526,.375,.755,23.5,9.3,3.8,1.7,0.7,0.4
10,Kendall Brown,"Nov 23, '22, IND vs. MIN",19,2,21,103,12,22,0,3,6,10,5,11,8,4,0,4,18,30,.545,.000,.600,4.9,1.4,0.5,0.4,0.2,0.0
11,John Butler,"Nov 5, '22, POR @ PHO",20,1,19,221,17,53,8,35,3,4,3,17,11,7,9,1,22,45,.321,.229,.750,11.6,2.4,0.9,0.6,0.4,0.5
12,Jamal Cain,"Nov 12, '22, MIA vs. CHO",23,4,83,1002,139,303,44,131,69,95,57,174,44,44,15,36,89,391,.459,.336,.726,12.1,4.7,2.1,0.5,0.5,0.2
13,Julian Champagnie,"Nov 22, '22, PHI vs. BRK",21,4,187,4101,541,1297,341,916,197,233,130,645,240,130,86,160,233,1620,.417,.372,.845,21.9,8.7,3.4,1.3,0.7,0.5
14,Kennedy Chandler,"Oct 22, '22, MEM @ DAL",20,1,36,281,35,83,2,15,6,13,9,38,58,12,5,18,15,78,.422,.133,.462,7.8,2.2,1.1,1.6,0.3,0.1
15,Max Christie,"Oct 18, '22, LAL @ GSW",19,4,201,4030,461,1068,221,577,199,240,61,525,266,101,63,152,232,1342,.432,.383,.829,20.0,6.7,2.6,1.3,0.5,0.3
16,Chance Comanche,"Apr 9, '23, POR vs. GSW",26,1,1,21,3,5,0,0,1,4,2,3,0,0,1,0,0,7,.600,,.250,21.0,7.0,3.0,0.0,0.0,1.0
17,Xavier Cooks,"Mar 18, '23, WAS vs. SAC",27,1,10,126,17,28,0,1,4,10,16,38,6,6,4,8,13,38,.607,.000,.400,12.6,3.8,3.8,0.6,0.6,0.4
18,Dyson Daniels,"Oct 19, '22, NOP @ BRK",19,4,211,5468,740,1564,152,469,156,254,249,962,718,392,98,303,412,1788,.473,.324,.614,25.9,8.5,4.6,3.4,1.9,0.5
19,Johnny Davis,"Oct 25, '22, WAS vs. DET",20,3,112,1278,160,403,38,139,37,66,38,175,71,43,24,37,123,395,.397,.273,.561,11.4,3.5,1.6,0.6,0.4,0.2
20,JD Davison,"Nov 11, '22, BOS vs. DEN",20,4,41,222,29,73,12,38,9,15,6,32,36,9,5,19,13,79,.397,.316,.600,5.4,1.9,0.8,0.9,0.2,0.1
,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
21,Darius Days,"Feb 6, '23, HOU vs. SAC",23,1,4,25,5,12,3,10,2,2,1,6,1,0,1,0,2,15,.417,.300,1.000,6.3,3.8,1.5,0.3,0.0,0.3
22,Moussa DiabatÃ©,"Oct 27, '22, LAC @ OKC",21,4,118,1819,254,424,1,8,126,200,288,623,79,67,70,83,162,635,.599,.125,.630,15.4,5.4,5.3,0.7,0.6,0.6
23,Ousmane Dieng,"Oct 19, '22, OKC @ MIN",19,4,121,1474,190,458,73,256,44,59,51,258,122,40,24,69,107,497,.415,.285,.746,12.2,4.1,2.1,1.0,0.3,0.2
24,Jalen Duren,"Oct 19, '22, DET vs. ORL",19,4,219,5857,1082,1652,0,6,475,675,757,2266,455,145,209,387,669,2639,.655,.000,.704,26.7,12.1,10.3,2.1,0.7,1.0
25,Tari Eason,"Oct 19, '22, HOU @ ATL",21,4,172,3922,703,1503,167,459,214,289,385,1068,216,233,121,205,394,1787,.468,.364,.740,22.8,10.4,6.2,1.3,1.4,0.7
26,Keon Ellis,"Nov 17, '22, SAC vs. SAS",23,4,167,3260,375,787,239,555,110,138,100,365,220,197,97,115,331,1099,.476,.431,.797,19.5,6.6,2.2,1.3,1.2,0.6
27,Simone Fontecchio,"Oct 19, '22, UTA vs. DEN",27,4,207,3913,570,1340,310,826,177,215,154,584,224,98,46,173,300,1627,.425,.375,.823,18.9,7.9,2.8,1.1,0.5,0.2
28,Michael Foster Jr.,"Nov 22, '22, PHI vs. BRK",20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0
29,Jacob Gilyard,"Apr 9, '23, MEM @ OKC",24,2,42,740,61,153,52,129,2,2,9,50,144,36,5,32,42,176,.399,.403,1.000,17.6,4.2,1.2,3.4,0.9,0.1
30,RaiQuan Gray,"Apr 9, '23, BRK vs. PHI",23,2,4,74,16,29,5,12,2,2,5,16,13,1,2,5,5,39,.552,.417,1.000,18.5,9.8,4.0,3.3,0.3,0.5
31,A.J. Green,"Oct 22, '22, MIL vs. HOU",23,4,179,3040,369,851,314,734,58,69,34,320,188,58,12,72,285,1110,.434,.428,.841,17.0,6.2,1.8,1.1,0.3,0.1
32,AJ Griffin,"Oct 23, '22, ATL vs. CHO",19,2,92,1572,266,595,111,298,44,49,39,171,78,43,14,50,93,687,.447,.372,.898,17.1,7.5,1.9,0.8,0.5,0.2
33,Jordan Hall,"Nov 2, '22, SAS vs. TOR",21,1,9,83,9,28,3,15,7,9,3,12,11,1,0,7,6,28,.321,.200,.778,9.2,3.1,1.3,1.2,0.1,0.0
34,Jaden Hardy,"Oct 22, '22, DAL vs. MEM",20,4,190,2735,543,1280,235,610,196,256,43,325,259,71,17,203,247,1517,.424,.385,.766,14.4,8.0,1.7,1.4,0.4,0.1
35,Ron Harper Jr.,"Oct 31, '22, TOR vs. ATL",22,4,14,84,12,31,5,21,3,3,8,17,10,0,2,0,7,32,.387,.238,1.000,6.0,2.3,1.2,0.7,0.0,0.1
36,Kevon Harris,"Oct 21, '22, ORL @ ATL",25,2,36,463,49,110,16,43,31,41,28,72,17,17,5,22,56,145,.445,.372,.756,12.9,4.0,2.0,0.5,0.5,0.1
37,Caleb Houstan,"Oct 19, '22, ORL @ DET",20,4,174,2450,230,588,185,496,54,64,84,261,96,50,18,50,191,699,.391,.373,.844,14.1,4.0,1.5,0.6,0.3,0.1
38,Trevor Hudgins,"Oct 22, '22, HOU @ MIL",23,1,5,28,2,9,2,8,3,3,0,0,3,0,0,1,1,9,.222,.250,1.000,5.6,1.8,0.0,0.6,0.0,0.0
39,Jaden Ivey,"Oct 19, '22, DET vs. ORL",20,3,181,5419,1016,2369,307,873,578,775,199,676,802,146,69,516,513,2917,.429,.352,.746,29.9,16.1,3.7,4.4,0.8,0.4
40,Quenton Jackson,"Feb 11, '23, WAS vs. IND",24,4,45,628,97,202,22,64,63,82,21,73,88,31,7,26,64,279,.480,.344,.768,14.0,6.2,1.6,2.0,0.7,0.2
,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
41,Nikola JoviÄ,"Oct 26, '22, MIA @ POR",19,4,121,2555,368,829,166,459,149,188,70,464,274,79,35,137,220,1051,.444,.362,.793,21.1,8.7,3.8,2.3,0.7,0.3
42,Johnny Juzang,"Feb 28, '23, UTA vs. SAS",21,4,109,1895,293,698,167,461,58,73,58,262,100,47,13,53,171,811,.420,.362,.795,17.4,7.4,2.4,0.9,0.4,0.1
43,Trevor Keels,"Oct 21, '22, NYK vs. DET",19,1,3,8,1,4,1,4,0,0,0,2,0,0,0,0,0,3,.250,.250,,2.7,1.0,0.7,0.0,0.0,0.0
44,Walker Kessler,"Oct 19, '22, UTA vs. DEN",21,4,201,5090,831,1220,17,64,231,424,685,1862,241,99,474,226,453,1910,.681,.266,.545,25.3,9.5,9.3,1.2,0.5,2.4
45,Christian Koloko,"Oct 19, '22, TOR vs. CLE",22,3,97,1150,112,216,1,16,47,73,119,264,47,29,73,32,173,272,.519,.063,.644,11.9,2.8,2.7,0.5,0.3,0.8
46,Jake LaRavia,"Oct 19, '22, MEM vs. NYK",21,4,151,2997,373,854,154,419,201,272,179,517,272,125,43,167,287,1101,.437,.368,.739,19.8,7.3,3.4,1.8,0.8,0.3
47,A.J. Lawson,"Nov 16, '22, MIN @ ORL",22,3,83,905,156,355,56,176,60,94,40,157,53,25,9,32,77,428,.439,.318,.638,10.9,5.2,1.9,0.6,0.3,0.1
48,Kenneth Lofton Jr.,"Oct 22, '22, MEM @ DAL",20,2,45,375,85,171,13,41,33,53,31,89,53,11,7,26,52,216,.497,.317,.623,8.3,4.8,2.0,1.2,0.2,0.2
49,Tyrese Martin,"Oct 23, '22, ATL vs. CHO",23,3,90,1674,237,591,118,349,55,71,77,273,158,44,12,90,92,647,.401,.338,.775,18.6,7.2,3.0,1.8,0.5,0.1
50,Bennedict Mathurin,"Oct 19, '22, IND vs. WAS",20,4,212,6007,1124,2514,286,831,867,1050,237,952,378,131,51,393,452,3401,.447,.344,.826,28.3,16.0,4.5,1.8,0.6,0.2
51,Bryce McGowens,"Oct 19, '22, CHO @ SAS",20,4,124,1744,190,459,60,188,139,181,39,202,110,39,16,78,129,579,.414,.319,.768,14.1,4.7,1.6,0.9,0.3,0.1
52,Justin Minaya,"Apr 4, '23, POR @ MEM",23,3,57,571,37,118,17,71,5,12,38,81,32,17,16,18,56,96,.314,.239,.417,10.0,1.7,1.4,0.6,0.3,0.3
53,Josh Minott,"Nov 28, '22, MIN @ WAS",20,4,107,745,117,242,36,101,52,60,48,162,50,38,28,25,84,322,.483,.356,.867,7.0,3.0,1.5,0.5,0.4,0.3
54,Isaiah Mobley,"Oct 22, '22, CLE @ CHI",23,3,23,173,24,59,7,21,5,7,8,34,14,7,4,3,17,60,.407,.333,.714,7.5,2.6,1.5,0.6,0.3,0.2
55,Chima Moneke,"Oct 27, '22, SAC vs. MEM",27,1,2,8,1,2,0,0,0,2,2,2,1,0,0,2,2,2,.500,,.000,4.0,1.0,1.0,0.5,0.0,0.0
56,Wendell Moore Jr.,"Oct 23, '22, MIN @ OKC",21,4,93,770,89,193,16,65,22,27,35,129,69,35,12,40,50,216,.461,.246,.815,8.3,2.3,1.4,0.7,0.4,0.1
57,Keegan Murray,"Oct 22, '22, SAC vs. LAC",22,3,233,7580,1161,2577,543,1461,225,277,341,1298,336,201,170,184,553,3090,.451,.372,.812,32.5,13.3,5.6,1.4,0.9,0.7
58,Andrew Nembhard,"Oct 21, '22, IND vs. SAS",23,4,215,5851,828,1798,217,649,238,291,107,568,990,214,32,356,488,2111,.461,.334,.818,27.2,9.8,2.6,4.6,1.0,0.1
59,Scotty Pippen Jr.,"Oct 18, '22, LAL @ GSW",22,3,106,2242,389,809,118,294,168,235,89,330,447,141,41,196,266,1064,.481,.401,.715,21.2,10.0,3.1,4.2,1.3,0.4
60,Jason Preston,"Oct 23, '22, LAC vs. PHO",23,2,21,195,24,60,5,21,0,2,8,39,43,4,1,12,10,53,.400,.238,.000,9.3,2.5,1.9,2.0,0.2,0.0
,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
