Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Mikal Bridges,26.0,2TM,SG,83.0,83.0,2963.0,7.2,15.4,0.468,2.1,5.4,0.382,5.2,10.0,0.514,0.535,3.8,4.3,0.895,1.0,3.5,4.4,3.3,1.1,0.7,1.5,1.9,20.3,
1.0,Mikal Bridges,26.0,PHO,SF,56.0,56.0,2040.0,6.2,13.5,0.463,1.8,4.6,0.387,4.5,8.9,0.503,0.529,2.8,3.1,0.897,1.0,3.3,4.3,3.5,1.1,0.8,1.4,2.0,17.0,
1.0,Mikal Bridges,26.0,BRK,SG,27.0,27.0,923.0,9.3,19.6,0.475,2.7,7.1,0.376,6.7,12.6,0.531,0.543,6.2,7.0,0.894,0.9,3.8,4.7,2.8,1.0,0.6,1.9,1.7,27.5,
2.0,Anthony Edwards,21.0,MIN,SG,79.0,79.0,2842.0,9.0,19.5,0.459,2.7,7.3,0.369,6.3,12.2,0.513,0.528,4.0,5.3,0.756,0.6,5.2,5.8,4.4,1.6,0.7,3.3,2.4,24.7,AS
3.0,Zach LaVine,27.0,CHI,SG,77.0,77.0,2768.0,8.8,18.1,0.485,2.7,7.1,0.375,6.1,11.0,0.556,0.558,4.7,5.6,0.848,0.5,3.9,4.5,4.3,0.9,0.2,2.5,2.1,24.9,
4.0,Nikola VuÄeviÄ,32.0,CHI,C,82.0,82.0,2746.0,7.8,15.1,0.52,1.6,4.5,0.349,6.2,10.5,0.594,0.573,1.7,2.1,0.835,2.1,9.8,11.8,3.5,0.8,0.7,1.8,2.3,19.0,
5.0,Julius Randle,28.0,NYK,PF,77.0,77.0,2737.0,8.7,18.8,0.459,2.9,8.4,0.343,5.8,10.5,0.553,0.536,5.3,7.0,0.757,1.9,8.2,10.1,4.2,0.6,0.3,2.8,3.1,25.5,"CPOY-14,AS,NBA3"
6.0,Domantas Sabonis,26.0,SAC,C,79.0,79.0,2736.0,7.6,12.3,0.615,0.4,1.1,0.373,7.2,11.3,0.639,0.632,4.3,5.8,0.742,3.3,9.5,12.8,7.5,0.9,0.5,3.0,3.7,19.9,"MVP-7,AS,NBA3"
7.0,Jayson Tatum,24.0,BOS,SF,74.0,74.0,2732.0,9.6,20.5,0.466,3.2,9.0,0.35,6.4,11.5,0.558,0.543,7.0,8.2,0.854,1.0,7.5,8.6,4.5,1.0,0.7,2.8,2.1,29.3,"MVP-4,CPOY-10,AS,NBA1"
8.0,Spencer Dinwiddie,29.0,2TM,SG,79.0,79.0,2725.0,6.1,13.9,0.438,2.4,6.5,0.369,3.7,7.4,0.498,0.524,3.5,4.4,0.812,0.4,3.2,3.6,6.8,0.9,0.3,1.9,2.5,18.1,
8.0,Spencer Dinwiddie,29.0,DAL,SG,53.0,53.0,1808.0,6.3,13.8,0.455,2.7,6.8,0.405,3.5,7.0,0.504,0.555,3.4,4.1,0.821,0.4,2.9,3.2,5.6,0.8,0.3,1.8,2.5,18.7,
8.0,Spencer Dinwiddie,29.0,BRK,PG,26.0,26.0,917.0,5.7,14.0,0.404,1.7,5.8,0.289,4.0,8.1,0.488,0.465,3.8,4.8,0.797,0.4,3.8,4.2,9.3,1.1,0.3,2.2,2.5,16.8,
9.0,Evan Mobley,21.0,CLE,PF,79.0,79.0,2715.0,7.0,12.6,0.554,0.3,1.4,0.216,6.7,11.2,0.595,0.566,2.7,4.0,0.674,2.5,6.9,9.4,3.0,0.8,1.6,1.9,2.9,16.9,"DPOY-3,DEF1"
10.0,Dejounte Murray,26.0,ATL,SG,74.0,74.0,2693.0,8.2,17.6,0.464,1.8,5.2,0.344,6.4,12.5,0.514,0.514,2.1,2.5,0.832,0.7,4.5,5.2,6.0,1.5,0.3,2.1,1.4,20.3,
11.0,DeMar DeRozan,33.0,CHI,SF,74.0,74.0,2682.0,8.8,17.5,0.504,0.6,1.9,0.324,8.2,15.6,0.526,0.522,6.1,7.0,0.872,0.5,4.1,4.6,5.1,1.1,0.5,2.1,2.5,24.4,"CPOY-3,AS"
12.0,Scottie Barnes,21.0,TOR,SF,77.0,76.0,2678.0,6.2,13.7,0.456,0.8,3.0,0.281,5.4,10.6,0.505,0.487,2.6,3.3,0.772,2.4,4.5,6.9,5.0,1.1,0.8,2.1,2.3,15.8,
13.0,Harrison Barnes,30.0,SAC,PF,82.0,82.0,2662.0,5.1,10.7,0.473,1.8,4.8,0.374,3.3,5.9,0.553,0.556,4.7,5.6,0.847,1.2,3.8,4.9,1.7,0.8,0.1,1.2,1.4,16.6,
