Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
434.0,Nerlens Noel,28.0,2TM,C,17.0,4.0,195.0,3.2,9.0,0.361,0.2,0.5,0.5,3.0,8.5,0.353,0.375,2.0,3.0,0.667,2.5,9.0,11.5,2.5,4.0,2.5,3.2,8.0,8.7,84.0,109.0,
434.0,Nerlens Noel,28.0,DET,C,14.0,3.0,152.0,3.8,9.6,0.4,0.3,0.6,0.5,3.5,8.9,0.393,0.417,2.2,3.2,0.7,2.2,9.6,11.8,2.2,4.1,2.9,2.6,8.0,10.2,92.0,108.0,
434.0,Nerlens Noel,28.0,BRK,C,3.0,1.0,43.0,1.1,6.8,0.167,0.0,0.0,,1.1,6.8,0.167,0.167,1.1,2.3,0.5,3.4,6.8,10.2,3.4,3.4,1.1,5.7,7.9,3.4,56.0,110.0,
435.0,Skylar Mays,25.0,POR,PG,6.0,6.0,189.0,8.8,17.5,0.5,3.1,6.7,0.462,5.7,10.8,0.524,0.588,3.1,3.3,0.923,0.5,4.4,4.9,12.9,1.5,0.3,2.6,2.8,23.7,132.0,121.0,
436.0,Peyton Watson,20.0,DEN,SG,23.0,2.0,186.0,7.6,15.5,0.492,1.6,3.7,0.429,6.0,11.8,0.511,0.542,2.9,5.3,0.55,2.1,7.6,9.7,2.9,0.5,2.9,2.1,3.7,19.7,109.0,114.0,
437.0,Serge Ibaka,33.0,MIL,C,16.0,0.0,185.0,6.7,13.9,0.481,1.5,4.6,0.333,5.2,9.3,0.556,0.537,2.1,3.4,0.615,3.9,7.5,11.4,1.0,0.5,1.8,2.8,5.9,17.0,105.0,112.0,
438.0,Kenneth Lofton Jr.,20.0,MEM,PF,24.0,1.0,176.0,13.2,25.1,0.527,1.6,4.6,0.353,11.6,20.5,0.566,0.559,4.3,7.3,0.593,5.1,8.6,13.8,5.4,1.3,0.5,3.2,7.6,32.4,116.0,111.0,
439.0,Mamadi Diakite,26.0,CLE,C,22.0,2.0,176.0,6.8,14.2,0.48,2.0,6.0,0.333,4.8,8.3,0.586,0.55,0.6,0.6,1.0,2.3,6.3,8.5,2.3,1.1,2.6,3.4,7.4,16.2,99.0,109.0,
440.0,Ryan Arcidiacono,28.0,2TM,PG,20.0,4.0,172.0,2.6,10.5,0.243,2.3,6.5,0.348,0.3,4.0,0.071,0.351,0.0,0.0,,0.0,4.3,4.3,6.5,1.4,0.0,2.0,4.8,7.4,86.0,121.0,
440.0,Ryan Arcidiacono,28.0,NYK,PG,11.0,0.0,26.0,1.9,9.5,0.2,1.9,5.7,0.333,0.0,3.8,0.0,0.3,0.0,0.0,,0.0,7.6,7.6,3.8,3.8,0.0,1.9,5.7,5.7,72.0,110.0,
440.0,Ryan Arcidiacono,28.0,POR,PG,9.0,4.0,146.0,2.7,10.7,0.25,2.3,6.7,0.35,0.3,4.0,0.083,0.359,0.0,0.0,,0.0,3.7,3.7,7.0,1.0,0.0,2.0,4.7,7.7,88.0,122.0,
441.0,Boban MarjanoviÄ,34.0,HOU,C,31.0,0.0,171.0,11.6,17.0,0.683,0.0,0.3,0.0,11.6,16.7,0.695,0.683,5.7,7.7,0.741,5.7,11.3,17.0,2.6,1.4,0.6,4.0,2.8,28.9,127.0,117.0,
442.0,Noah Vonleh,27.0,BOS,C,23.0,1.0,171.0,3.1,6.8,0.458,0.3,1.1,0.25,2.9,5.7,0.5,0.479,0.6,0.6,1.0,5.1,8.6,13.7,2.0,0.6,2.3,3.1,10.0,7.1,101.0,110.0,
443.0,Vit Krejci,22.0,ATL,PG,29.0,0.0,165.0,4.3,10.7,0.405,1.4,6.1,0.238,2.9,4.6,0.625,0.473,0.3,0.6,0.5,1.7,5.8,7.5,4.9,1.4,0.3,1.4,4.9,10.4,108.0,118.0,
444.0,Garrett Temple,36.0,NOP,SG,25.0,0.0,162.0,5.4,13.5,0.4,3.3,7.8,0.423,2.1,5.7,0.368,0.522,0.9,1.2,0.75,1.5,3.6,5.1,3.9,2.7,0.6,1.2,4.5,15.0,114.0,112.0,
445.0,Khem Birch,30.0,TOR,C,20.0,0.0,162.0,5.8,9.8,0.594,0.3,0.6,0.5,5.5,9.2,0.6,0.609,1.2,1.5,0.8,2.4,5.2,7.6,2.1,1.5,1.5,2.4,7.3,13.1,113.0,115.0,
446.0,James Johnson,35.0,IND,PF,18.0,1.0,162.0,6.4,14.4,0.449,0.9,4.4,0.2,5.6,10.0,0.559,0.48,1.2,2.3,0.5,1.2,7.6,8.8,4.4,2.1,1.8,2.3,9.4,14.9,98.0,115.0,
447.0,Alex Len,29.0,SAC,C,26.0,2.0,161.0,4.8,8.9,0.533,0.0,0.6,0.0,4.8,8.3,0.571,0.533,3.3,4.8,0.688,7.1,10.7,17.8,3.6,1.2,3.3,4.8,8.3,12.8,109.0,112.0,
448.0,Luka Å amaniÄ,23.0,UTA,PF,7.0,4.0,161.0,7.7,16.9,0.456,2.4,9.2,0.258,5.3,7.7,0.692,0.526,2.7,3.9,0.692,0.0,8.9,8.9,4.5,1.8,0.6,3.0,5.0,20.5,105.0,115.0,
449.0,Dru Smith,25.0,2TM,SG,15.0,1.0,158.0,5.6,14.0,0.4,1.6,5.9,0.263,4.1,8.1,0.5,0.456,0.9,0.9,1.0,0.6,6.9,7.5,6.9,3.1,1.2,0.9,7.2,13.7,111.0,110.0,
449.0,Dru Smith,25.0,MIA,SG,5.0,1.0,67.0,3.7,10.4,0.357,0.7,4.5,0.167,3.0,6.0,0.5,0.393,0.0,0.0,,0.7,6.0,6.7,3.7,3.0,2.2,0.7,7.4,8.2,94.0,108.0,
449.0,Dru Smith,25.0,BRK,SG,10.0,0.0,91.0,7.0,16.6,0.419,2.1,7.0,0.308,4.8,9.7,0.5,0.484,1.6,1.6,1.0,0.5,7.5,8.0,9.1,3.2,0.5,1.1,7.0,17.7,118.0,110.0,
450.0,Wendell Moore Jr.,21.0,MIN,SG,29.0,2.0,153.0,5.6,13.4,0.419,0.6,5.3,0.118,5.0,8.1,0.615,0.442,1.2,1.6,0.8,1.2,4.3,5.6,5.6,2.5,1.6,2.5,4.0,13.0,98.0,113.0,
451.0,Otto Porter Jr.,29.0,TOR,SF,8.0,2.0,146.0,5.1,10.2,0.5,2.0,5.8,0.353,3.0,4.4,0.692,0.6,2.7,2.7,1.0,2.0,4.4,6.4,2.7,3.7,0.0,1.4,2.4,14.9,132.0,112.0,
452.0,Kemba Walker,32.0,DAL,PG,9.0,1.0,144.0,8.3,19.7,0.421,2.4,9.7,0.25,5.9,10.0,0.586,0.482,5.9,7.2,0.81,1.0,4.5,5.5,6.6,0.7,0.7,1.4,3.8,24.9,118.0,119.0,
453.0,Danny Green,35.0,2TM,SG,11.0,0.0,138.0,7.9,17.5,0.449,5.7,13.2,0.432,2.1,4.3,0.5,0.612,0.4,0.4,1.0,1.1,3.9,5.0,2.1,2.1,1.1,3.6,5.7,21.8,103.0,111.0,
453.0,Danny Green,35.0,MEM,SG,3.0,0.0,43.0,3.3,12.1,0.273,3.3,8.8,0.375,0.0,3.3,0.0,0.409,0.0,0.0,,1.1,3.3,4.4,2.2,1.1,0.0,3.3,6.6,9.9,77.0,116.0,
