Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1,Precious Achiuwa,C,22,TOR,6,1,167,7.9,16.4,.481,1.6,5.0,.313,6.3,11.3,.556,1.9,3.2,.600,2.5,6.6,9.1,1.9,0.3,1.6,2.8,4.4,19.2,,102,122
2,Steven Adams,C,28,MEM,7,5,114,3.7,8.7,.429,0.0,0.0,,3.7,8.7,.429,2.5,4.5,.545,6.2,12.4,18.6,6.2,0.4,0.4,1.6,4.9,9.9,,120,109
3,Bam Adebayo,C,24,MIA,18,18,614,8.6,14.5,.594,0.0,0.1,.000,8.6,14.4,.598,4.8,6.3,.763,3.1,8.9,11.9,4.0,1.5,1.1,3.2,4.6,22.1,,120,106
4,Nickeil Alexander-Walker,SG,23,UTA,1,0,5,21.1,21.1,1.000,0.0,0.0,,21.1,21.1,1.000,10.6,10.6,1.000,0.0,10.6,10.6,10.6,10.6,0.0,0.0,0.0,52.8,,212,93
5,Grayson Allen,SG,26,MIL,12,5,305,5.9,13.1,.451,3.0,7.7,.396,2.9,5.4,.529,1.1,1.8,.636,0.8,4.8,5.6,2.4,1.3,0.6,1.4,3.5,16.0,,111,105
6,Jose Alvarado,PG,23,NOP,6,0,117,7.0,14.5,.485,2.6,7.0,.375,4.4,7.5,.588,4.4,5.7,.769,0.9,2.6,3.5,4.0,3.1,0.4,3.1,7.9,21.1,,119,117
7,Kyle Anderson,PF,28,MEM,12,1,221,6.2,10.8,.569,0.6,2.6,.250,5.5,8.3,.667,2.3,3.8,.611,2.1,8.9,11.1,4.5,2.3,1.5,2.1,4.7,15.3,,119,105
8,Giannis Antetokounmpo,PF,27,MIL,12,12,448,15.2,31.0,.491,1.0,4.5,.220,14.3,26.6,.537,9.9,14.6,.679,2.8,15.7,18.5,8.8,0.9,1.6,5.9,4.7,41.4,,108,99
9,Thanasis Antetokounmpo,SF,29,MIL,8,0,20,4.9,7.3,.667,0.0,0.0,,4.9,7.3,.667,2.4,7.3,.333,2.4,7.3,9.8,2.4,2.4,0.0,0.0,9.8,12.2,,130,102
10,OG Anunoby,SF,24,TOR,6,6,217,9.5,19.9,.476,3.4,9.9,.341,6.1,9.9,.610,2.9,3.9,.750,1.7,4.1,5.8,3.6,1.5,0.2,2.4,4.4,25.2,,114,123
11,Deandre Ayton,C,23,PHO,13,13,397,13.6,21.3,.640,0.3,0.5,.500,13.4,20.8,.644,2.7,4.3,.636,4.3,10.8,15.1,2.9,0.6,1.3,2.5,4.4,30.3,,125,115
12,Desmond Bane,SG,23,MEM,12,12,428,8.3,17.5,.478,4.7,9.7,.489,3.6,7.8,.465,3.3,3.8,.857,0.5,4.4,4.9,2.9,1.2,1.0,1.8,2.5,24.7,,123,111
13,Dalano Banton,PG,22,TOR,4,0,8,13.2,13.2,1.000,0.0,0.0,,13.2,13.2,1.000,19.7,39.5,.500,13.2,0.0,13.2,6.6,6.6,0.0,6.6,0.0,46.1,,135,113
14,Scottie Barnes,PF,20,TOR,4,3,133,7.1,16.6,.429,0.8,4.7,.167,6.3,11.9,.533,5.1,6.3,.813,2.8,11.5,14.2,6.7,1.6,0.4,2.0,4.7,20.2,,115,118
15,Will Barton,SG,31,DEN,5,5,172,7.8,19.0,.409,3.2,8.1,.393,4.6,10.9,.421,1.2,1.7,.667,1.4,6.6,8.1,4.0,1.2,0.3,2.9,3.2,19.9,,100,123
