Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
438.0,Mychal Mulder,27.0,2TM,PG,17.0,3.0,239.0,3.6,11.6,0.312,2.6,8.1,0.315,1.1,3.5,0.304,0.422,0.6,0.6,1.0,0.3,3.3,3.6,0.8,0.6,0.3,1.2,2.0,10.4,
438.0,Mychal Mulder,27.0,ORL,PG,15.0,2.0,195.0,3.7,12.4,0.299,2.4,8.5,0.283,1.3,3.9,0.333,0.396,0.4,0.4,1.0,0.4,3.5,3.9,0.6,0.7,0.2,1.5,2.2,10.2,
438.0,Mychal Mulder,27.0,MIA,PG,2.0,1.0,44.0,3.3,8.2,0.4,3.3,6.5,0.5,0.0,1.6,0.0,0.6,1.6,1.6,1.0,0.0,2.5,2.5,1.6,0.0,0.8,0.0,0.8,11.5,
439.0,Jake Layman,27.0,MIN,SF,34.0,1.0,231.0,4.7,11.4,0.411,1.2,5.5,0.229,3.4,5.9,0.579,0.466,2.0,2.8,0.722,0.9,4.7,5.6,1.4,1.1,0.8,1.6,1.9,12.6,
440.0,Denzel Valentine,28.0,2TM,SG,24.0,0.0,222.0,4.1,10.7,0.379,3.1,7.6,0.404,1.0,3.1,0.316,0.523,0.0,0.0,,1.5,5.4,6.8,1.8,1.3,0.0,1.9,3.2,11.2,
440.0,Denzel Valentine,28.0,CLE,SG,22.0,0.0,204.0,4.1,10.9,0.371,3.2,7.8,0.409,0.9,3.2,0.278,0.516,0.0,0.0,,1.6,5.1,6.7,1.9,1.2,0.0,1.8,3.0,11.3,
440.0,Denzel Valentine,28.0,UTA,SG,2.0,0.0,18.0,4.0,8.0,0.5,2.0,6.0,0.333,2.0,2.0,1.0,0.625,0.0,0.0,,0.0,8.0,8.0,0.0,2.0,0.0,4.0,6.0,10.0,
441.0,Kevin Knox,22.0,2TM,SF,30.0,0.0,222.0,5.0,13.8,0.365,2.4,8.8,0.278,2.6,5.0,0.516,0.453,2.6,3.6,0.727,2.3,4.9,7.1,1.6,0.6,0.3,1.1,3.1,15.1,
441.0,Kevin Knox,22.0,NYK,SF,13.0,0.0,111.0,4.9,13.0,0.375,3.2,9.1,0.357,1.6,3.9,0.417,0.5,2.3,3.2,0.7,2.6,4.5,7.1,1.0,0.6,0.3,1.6,1.6,15.2,
441.0,Kevin Knox,22.0,ATL,SF,17.0,0.0,111.0,5.2,14.6,0.356,1.6,8.4,0.192,3.6,6.2,0.579,0.411,2.9,3.9,0.75,1.9,5.2,7.1,2.3,0.6,0.3,0.6,4.5,14.9,
