Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
94,Jordan Schakel,"Dec 26, '21, WAS vs. PHI",23,2,6,36,2,13,2,7,2,2,2,8,1,2,0,1,1,8,.154,.286,1.000,6.0,1.3,1.3,0.2,0.3,0.0
95,Tre Scott,"Dec 22, '21, CLE @ BOS",25,1,2,11,3,6,0,1,0,0,1,2,0,1,1,0,2,6,.500,.000,,5.5,3.0,1.0,0.0,0.5,0.5
96,Alperen ÅengÃ¼n,"Oct 20, '21, HOU @ MIN",19,5,298,8543,1882,3651,119,413,976,1388,863,2570,1249,304,257,734,931,4859,.515,.288,.703,28.7,16.3,8.6,4.2,1.0,0.9
97,Day'Ron Sharpe,"Oct 24, '21, BRK vs. CHO",20,5,204,2978,547,986,26,90,210,323,521,1149,255,103,139,230,425,1330,.555,.289,.650,14.6,6.5,5.6,1.3,0.5,0.7
98,Marko Simonovic,"Nov 22, '21, CHI vs. IND",22,2,16,55,6,22,2,9,9,13,6,12,0,1,1,2,11,23,.273,.222,.692,3.4,1.4,0.8,0.0,0.1,0.1
99,Zavier Simpson,"Apr 5, '22, OKC vs. POR",24,2,11,335,36,106,6,25,8,9,6,41,55,12,7,20,26,86,.340,.240,.889,30.5,7.8,3.7,5.0,1.1,0.6
100,Jericho Sims,"Oct 20, '21, NYK vs. BOS",23,5,201,2657,209,293,0,1,51,86,295,773,108,45,90,100,278,469,.713,.000,.593,13.2,2.3,3.8,0.5,0.2,0.4
,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
101,Javonte Smart,"Dec 4, '21, MIL vs. MIA",22,2,18,201,19,60,8,27,5,6,5,24,16,6,3,11,12,51,.317,.296,.833,11.2,2.8,1.3,0.9,0.3,0.2
