Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,Mikal Bridges,25.0,PHO,SF,82.0,82.0,2854.0,7.7,14.5,0.534,1.9,5.3,0.369,5.8,9.2,0.628,0.601,2.2,2.6,0.834,1.2,4.6,5.9,3.1,1.6,0.6,1.1,2.5,19.6,125.0,110.0,"DPOY-2,DEF1"
2.0,Miles Bridges,23.0,CHO,PF,80.0,80.0,2837.0,10.1,20.5,0.491,2.6,7.9,0.331,7.5,12.7,0.59,0.554,4.5,5.6,0.802,1.5,7.9,9.5,5.1,1.3,1.1,2.5,3.3,27.3,117.0,114.0,
3.0,DeMar DeRozan,32.0,CHI,PF,76.0,76.0,2743.0,13.8,27.3,0.504,0.9,2.5,0.352,12.9,24.8,0.52,0.521,9.3,10.6,0.877,1.0,6.0,7.0,6.7,1.2,0.4,3.2,3.2,37.7,117.0,115.0,"MVP-10,AS,NBA2"
4.0,Jayson Tatum,23.0,BOS,SF,76.0,76.0,2731.0,12.9,28.5,0.453,4.2,11.8,0.353,8.7,16.6,0.524,0.526,7.3,8.5,0.853,1.5,9.5,11.1,6.1,1.4,0.9,3.9,3.2,37.2,113.0,106.0,"MVP-6,AS,NBA1"
5.0,Saddiq Bey,22.0,DET,SF,82.0,82.0,2704.0,8.1,20.5,0.396,3.8,11.0,0.346,4.3,9.5,0.454,0.489,3.8,4.6,0.827,1.9,6.0,8.0,4.2,1.3,0.3,1.7,2.3,23.8,110.0,116.0,
6.0,Tyrese Haliburton,21.0,2TM,PG,77.0,77.0,2695.0,7.7,16.3,0.473,2.9,7.0,0.414,4.8,9.3,0.517,0.562,2.9,3.4,0.842,1.1,4.5,5.6,11.3,2.4,0.9,3.6,2.2,21.2,119.0,115.0,
6.0,Tyrese Haliburton,21.0,SAC,SG,51.0,51.0,1757.0,7.3,16.0,0.457,2.8,6.9,0.413,4.5,9.1,0.491,0.546,2.4,2.8,0.837,1.1,4.4,5.4,10.4,2.4,0.9,3.1,1.9,19.9,117.0,115.0,
6.0,Tyrese Haliburton,21.0,IND,PG,26.0,26.0,938.0,8.5,16.9,0.502,3.0,7.2,0.416,5.5,9.7,0.565,0.59,3.8,4.5,0.849,1.1,4.7,5.8,13.0,2.5,0.8,4.4,2.6,23.7,123.0,115.0,
7.0,Russell Westbrook,33.0,LAL,PG,78.0,78.0,2678.0,9.8,22.1,0.444,1.4,4.7,0.298,8.4,17.3,0.485,0.476,4.8,7.1,0.667,2.0,8.4,10.4,9.8,1.3,0.4,5.3,4.2,25.8,102.0,114.0,
8.0,Trae Young,23.0,ATL,PG,76.0,76.0,2652.0,13.2,28.6,0.46,4.3,11.3,0.382,8.9,17.3,0.512,0.536,9.3,10.2,0.904,0.9,4.3,5.3,13.7,1.3,0.1,5.6,2.4,39.9,119.0,118.0,"AS,NBA3"
9.0,Tyrese Maxey,21.0,PHI,PG,75.0,74.0,2650.0,9.1,18.7,0.485,2.5,5.8,0.427,6.6,12.9,0.512,0.552,4.0,4.6,0.866,0.5,4.0,4.5,6.0,1.0,0.6,1.7,2.9,24.7,121.0,115.0,
10.0,Dorian Finney-Smith,28.0,DAL,PF,80.0,80.0,2644.0,6.2,13.2,0.471,3.3,8.3,0.395,2.9,4.9,0.599,0.595,1.1,1.6,0.675,2.3,4.8,7.1,2.9,1.7,0.7,1.5,3.5,16.8,119.0,110.0,
11.0,Scottie Barnes,20.0,TOR,PF,74.0,74.0,2617.0,8.8,17.8,0.492,1.1,3.7,0.301,7.7,14.1,0.543,0.524,3.0,4.1,0.735,3.7,6.9,10.6,4.9,1.5,1.1,2.6,3.7,21.7,116.0,111.0,ROY-1
12.0,Harrison Barnes,29.0,SAC,PF,77.0,77.0,2587.0,7.3,15.5,0.469,2.6,6.7,0.394,4.6,8.8,0.525,0.554,6.3,7.7,0.826,1.5,6.5,8.0,3.5,1.0,0.3,2.2,1.7,23.5,121.0,118.0,
13.0,Pascal Siakam,27.0,TOR,PF,68.0,68.0,2578.0,11.6,23.4,0.494,1.5,4.2,0.344,10.1,19.2,0.527,0.525,5.5,7.3,0.749,2.5,8.8,11.2,7.0,1.6,0.8,3.5,4.4,30.1,116.0,110.0,NBA3
14.0,Julius Randle,27.0,NYK,PF,72.0,72.0,2544.0,10.1,24.5,0.411,2.4,7.7,0.308,7.7,16.8,0.458,0.459,6.0,7.9,0.756,2.5,11.6,14.1,7.3,1.0,0.8,4.8,4.0,28.5,102.0,109.0,
15.0,Tobias Harris,29.0,PHI,PF,73.0,73.0,2543.0,9.7,20.0,0.482,2.0,5.4,0.367,7.7,14.7,0.525,0.532,3.3,4.0,0.842,1.5,8.2,9.7,4.9,0.9,0.8,2.3,3.2,24.7,113.0,112.0,
16.0,Jalen Brunson,25.0,DAL,SG,79.0,61.0,2524.0,10.1,20.1,0.502,1.9,5.0,0.373,8.2,15.1,0.545,0.549,3.6,4.2,0.84,0.9,5.3,6.2,7.5,1.3,0.1,2.5,3.0,25.6,118.0,112.0,
17.0,Buddy Hield,29.0,2TM,SG,81.0,32.0,2499.0,8.6,21.3,0.406,5.1,13.9,0.366,3.6,7.4,0.482,0.526,2.2,2.5,0.874,1.3,5.6,6.8,4.4,1.4,0.5,3.0,3.6,24.5,105.0,117.0,
17.0,Buddy Hield,29.0,SAC,SG,55.0,6.0,1574.0,8.1,21.2,0.382,5.6,15.1,0.368,2.5,6.1,0.419,0.514,2.4,2.8,0.87,1.3,5.4,6.8,3.2,1.5,0.5,2.8,3.5,24.2,103.0,117.0,
17.0,Buddy Hield,29.0,IND,SG,26.0,26.0,925.0,9.6,21.4,0.447,4.2,11.7,0.362,5.3,9.7,0.549,0.546,1.6,1.9,0.886,1.2,5.8,7.0,6.6,1.3,0.5,3.3,3.8,25.0,110.0,118.0,
18.0,Nikola JokiÄ,26.0,DEN,C,74.0,74.0,2476.0,15.1,26.0,0.583,1.9,5.7,0.337,13.2,20.3,0.652,0.62,7.5,9.3,0.81,4.1,16.1,20.2,11.6,2.2,1.2,5.6,3.8,39.7,126.0,105.0,"MVP-1,AS,NBA1"
19.0,Karl-Anthony Towns,26.0,MIN,C,74.0,74.0,2476.0,12.3,23.3,0.529,2.9,7.0,0.41,9.5,16.3,0.58,0.591,7.4,9.0,0.822,3.7,10.2,14.0,5.2,1.4,1.6,4.3,5.1,34.9,121.0,110.0,"AS,NBA3"
20.0,Anthony Edwards,20.0,MIN,SG,72.0,72.0,2466.0,10.6,24.0,0.441,4.1,11.6,0.357,6.4,12.4,0.519,0.527,4.2,5.4,0.786,1.2,5.4,6.6,5.3,2.0,0.9,3.7,3.2,29.6,108.0,112.0,
21.0,Fred VanVleet,27.0,TOR,PG,65.0,65.0,2462.0,9.0,22.3,0.403,4.9,13.0,0.377,4.1,9.2,0.44,0.513,3.9,4.5,0.874,0.9,5.0,5.9,8.8,2.3,0.7,3.5,3.3,26.8,115.0,111.0,AS
22.0,Terry Rozier,27.0,CHO,SG,73.0,73.0,2458.0,10.1,22.8,0.444,4.3,11.6,0.374,5.8,11.2,0.516,0.539,2.9,3.4,0.852,1.1,5.1,6.1,6.4,1.8,0.5,1.9,2.3,27.5,117.0,115.0,
23.0,Gary Trent Jr.,23.0,TOR,SG,70.0,69.0,2448.0,9.2,22.2,0.414,4.3,11.1,0.383,4.9,11.0,0.445,0.511,3.6,4.2,0.853,0.5,3.4,3.9,2.9,2.5,0.4,1.5,2.9,26.2,114.0,112.0,
24.0,Darius Garland,22.0,CLE,PG,68.0,68.0,2430.0,11.1,24.1,0.462,3.6,9.3,0.383,7.6,14.8,0.512,0.536,4.4,5.0,0.892,0.8,3.8,4.6,12.0,1.8,0.1,5.1,2.4,30.3,112.0,112.0,AS
25.0,Franz Wagner,20.0,ORL,SF,79.0,79.0,2429.0,9.1,19.4,0.468,1.9,5.4,0.354,7.2,14.0,0.511,0.517,3.8,4.4,0.863,1.7,5.4,7.1,4.6,1.4,0.7,2.4,3.3,23.8,110.0,114.0,ROY-5
26.0,LaMelo Ball,20.0,CHO,PG,75.0,75.0,2422.0,10.7,24.8,0.429,4.4,11.2,0.389,6.3,13.7,0.462,0.517,4.2,4.8,0.872,2.1,7.8,9.9,11.3,2.4,0.6,4.9,4.7,29.9,111.0,112.0,AS
27.0,James Harden,32.0,2TM,PG,65.0,65.0,2419.0,8.2,20.1,0.41,3.0,9.1,0.33,5.2,11.0,0.476,0.485,9.5,10.8,0.877,1.1,9.0,10.1,13.5,1.7,0.7,5.7,3.1,29.0,115.0,111.0,AS
27.0,James Harden,32.0,BRK,PG,44.0,44.0,1627.0,8.7,21.0,0.414,3.0,9.1,0.332,5.7,11.9,0.476,0.486,9.1,10.4,0.869,1.3,9.2,10.5,13.3,1.7,0.9,6.3,3.1,29.5,112.0,111.0,
27.0,James Harden,32.0,PHI,PG,21.0,21.0,792.0,7.2,18.0,0.402,2.9,8.9,0.326,4.3,9.1,0.476,0.483,10.5,11.7,0.892,0.8,8.6,9.4,13.9,1.6,0.3,4.5,3.0,27.8,122.0,111.0,
28.0,Nikola VuÄeviÄ,31.0,CHI,C,73.0,73.0,2418.0,11.0,23.3,0.473,2.1,6.7,0.314,8.9,16.6,0.537,0.518,1.9,2.4,0.76,2.9,13.4,16.2,4.8,1.4,1.4,2.7,3.7,26.0,107.0,110.0,
29.0,RJ Barrett,21.0,NYK,SF,70.0,70.0,2417.0,10.1,24.7,0.408,2.9,8.4,0.342,7.2,16.4,0.442,0.466,6.0,8.4,0.714,1.4,7.1,8.4,4.3,0.9,0.3,3.1,2.9,29.0,103.0,113.0,
30.0,Royce O'Neale,28.0,UTA,SF,77.0,77.0,2406.0,4.2,9.1,0.457,2.4,6.3,0.389,1.7,2.8,0.609,0.591,0.9,1.2,0.804,1.3,6.2,7.6,3.9,1.8,0.7,1.6,3.8,11.7,122.0,111.0,
31.0,Keldon Johnson,22.0,SAS,SF,75.0,74.0,2392.0,9.4,20.3,0.466,3.2,8.0,0.398,6.3,12.3,0.51,0.545,3.6,4.7,0.756,1.6,7.6,9.2,3.2,1.2,0.3,1.8,3.0,25.6,114.0,114.0,
32.0,Aaron Gordon,26.0,DEN,PF,75.0,75.0,2376.0,9.0,17.2,0.52,1.8,5.4,0.335,7.2,11.9,0.605,0.573,3.5,4.7,0.743,2.6,6.5,9.1,3.9,0.9,0.9,2.7,3.1,23.2,115.0,114.0,
33.0,Dejounte Murray,25.0,SAS,PG,68.0,68.0,2366.0,11.6,25.2,0.462,1.9,6.0,0.327,9.7,19.2,0.504,0.5,4.0,5.0,0.794,1.6,9.8,11.4,12.7,2.8,0.5,3.6,2.8,29.2,113.0,108.0,AS
34.0,Evan Fournier,29.0,NYK,SG,80.0,80.0,2358.0,8.5,20.5,0.417,5.1,13.1,0.389,3.4,7.3,0.465,0.541,1.7,2.4,0.708,0.7,3.7,4.5,3.6,1.7,0.4,2.2,3.8,23.9,109.0,113.0,
35.0,Patty Mills,33.0,BRK,SG,81.0,48.0,2346.0,6.7,16.4,0.408,4.7,11.7,0.4,2.0,4.7,0.429,0.551,1.0,1.2,0.814,0.4,2.9,3.2,3.8,1.1,0.4,1.5,2.3,19.1,112.0,117.0,
36.0,Devin Booker,25.0,PHO,SG,68.0,68.0,2345.0,13.6,29.2,0.466,3.8,9.8,0.383,9.8,19.4,0.508,0.53,6.5,7.4,0.868,0.9,6.1,7.0,6.8,1.6,0.5,3.3,3.7,37.4,113.0,109.0,"MVP-4,AS,NBA1"
37.0,Reggie Jackson,31.0,LAC,SG,75.0,75.0,2337.0,10.0,25.6,0.392,3.5,10.7,0.326,6.5,14.9,0.439,0.46,2.9,3.4,0.847,0.8,4.9,5.7,7.5,1.2,0.3,3.6,3.3,26.5,99.0,113.0,
38.0,Herbert Jones,23.0,NOP,PF,78.0,69.0,2335.0,5.8,12.2,0.476,1.2,3.6,0.337,4.6,8.6,0.533,0.525,2.9,3.4,0.84,2.1,4.2,6.3,3.5,2.7,1.3,2.1,5.0,15.7,114.0,112.0,ROY-6
39.0,Evan Mobley,20.0,CLE,PF,69.0,69.0,2331.0,9.0,17.8,0.508,0.5,2.0,0.25,8.5,15.8,0.541,0.522,3.6,5.4,0.663,3.1,9.1,12.2,3.7,1.2,2.5,2.8,3.1,22.2,109.0,107.0,ROY-2
40.0,Kentavious Caldwell-Pope,28.0,WAS,SG,77.0,77.0,2329.0,7.7,17.6,0.435,3.4,8.7,0.39,4.3,8.9,0.48,0.531,2.9,3.3,0.89,0.9,4.7,5.5,3.1,1.8,0.6,2.1,3.0,21.6,109.0,116.0,
41.0,Andrew Wiggins,26.0,GSW,SF,73.0,73.0,2329.0,9.9,21.3,0.466,3.3,8.4,0.393,6.7,13.0,0.513,0.543,3.1,4.9,0.634,1.8,5.0,6.8,3.4,1.6,1.1,2.3,3.3,26.3,109.0,109.0,AS
42.0,Zach LaVine,26.0,CHI,SG,67.0,67.0,2328.0,11.8,24.9,0.476,3.9,10.0,0.389,8.0,14.9,0.534,0.554,6.7,7.9,0.853,0.5,6.0,6.5,6.4,0.9,0.5,3.6,2.5,34.3,115.0,116.0,AS
43.0,Alec Burks,30.0,NYK,SG,81.0,44.0,2318.0,6.2,15.7,0.391,3.4,8.4,0.404,2.8,7.3,0.378,0.499,4.7,5.7,0.822,1.0,7.6,8.6,5.2,1.8,0.6,2.0,4.6,20.4,117.0,110.0,
44.0,Terance Mann,25.0,LAC,SF,81.0,33.0,2317.0,7.1,14.6,0.484,1.6,4.4,0.365,5.5,10.2,0.535,0.539,2.7,3.5,0.78,2.2,6.8,9.0,4.4,1.2,0.4,1.8,3.8,18.4,117.0,112.0,
45.0,Luka DonÄiÄ,22.0,DAL,PG,65.0,65.0,2301.0,14.0,30.7,0.457,4.4,12.4,0.353,9.6,18.2,0.528,0.529,8.0,10.7,0.744,1.2,11.7,13.0,12.4,1.6,0.8,6.4,3.2,40.4,110.0,107.0,"MVP-5,AS,NBA1"
46.0,Joel Embiid,27.0,PHI,C,68.0,68.0,2297.0,14.5,29.0,0.499,2.0,5.5,0.371,12.4,23.5,0.529,0.534,14.2,17.4,0.814,3.2,14.1,17.3,6.2,1.7,2.1,4.6,3.9,45.1,119.0,105.0,"MVP-2,AS,NBA2"
47.0,Marcus Smart,27.0,BOS,PG,71.0,71.0,2296.0,6.5,15.5,0.418,2.6,7.8,0.331,3.9,7.7,0.506,0.501,3.1,3.9,0.793,0.9,4.9,5.8,9.0,2.6,0.4,3.4,3.5,18.6,110.0,107.0,"DPOY-1,DEF1"
48.0,Jordan Poole,22.0,GSW,SG,76.0,51.0,2283.0,10.1,22.6,0.448,4.5,12.4,0.364,5.6,10.2,0.55,0.548,5.3,5.7,0.925,0.7,4.8,5.6,6.5,1.3,0.5,4.0,4.4,30.0,112.0,110.0,
49.0,Will Barton,31.0,DEN,SG,71.0,71.0,2277.0,8.4,19.3,0.438,3.4,9.3,0.365,5.1,10.0,0.504,0.525,2.2,2.7,0.803,0.9,6.4,7.3,5.9,1.2,0.7,2.7,2.5,22.5,108.0,114.0,
50.0,Desmond Bane,23.0,MEM,SG,76.0,76.0,2266.0,10.7,23.2,0.461,4.8,11.0,0.436,5.9,12.2,0.484,0.565,3.0,3.3,0.903,1.0,6.1,7.1,4.4,1.9,0.6,2.3,4.1,29.2,119.0,110.0,
51.0,Donovan Mitchell,25.0,UTA,SG,67.0,67.0,2266.0,13.5,30.0,0.448,5.1,14.3,0.355,8.4,15.7,0.533,0.533,5.8,6.8,0.853,1.2,5.0,6.2,7.8,2.2,0.3,4.4,3.6,37.8,114.0,111.0,AS
52.0,Jonas ValanÄiÅ«nas,29.0,NOP,C,74.0,74.0,2240.0,11.2,20.7,0.544,1.3,3.5,0.361,10.0,17.2,0.581,0.574,5.2,6.4,0.82,5.0,13.6,18.6,4.2,0.9,1.3,3.9,5.4,29.0,118.0,111.0,
53.0,Monte Morris,26.0,DEN,PG,75.0,74.0,2239.0,8.2,16.9,0.484,2.7,6.9,0.395,5.5,10.1,0.545,0.564,1.6,1.8,0.869,0.6,4.4,5.0,7.3,1.2,0.3,1.7,2.0,20.7,120.0,115.0,
54.0,Jaylen Brown,25.0,BOS,SF,66.0,66.0,2220.0,12.9,27.2,0.473,3.7,10.4,0.358,9.2,16.9,0.544,0.541,5.4,7.1,0.758,1.2,7.9,9.0,5.2,1.6,0.4,4.0,3.6,34.9,109.0,108.0,
55.0,Stephen Curry,33.0,GSW,PG,64.0,64.0,2211.0,11.8,27.0,0.437,6.3,16.5,0.38,5.5,10.5,0.527,0.554,6.1,6.6,0.923,0.7,6.6,7.4,8.9,1.9,0.5,4.5,2.9,35.9,115.0,108.0,"MVP-8,AS,NBA2"
56.0,Jrue Holiday,31.0,MIL,PG,67.0,64.0,2207.0,10.4,20.8,0.501,2.9,7.0,0.411,7.5,13.8,0.547,0.57,3.0,3.9,0.761,1.5,5.0,6.6,9.9,2.4,0.6,4.0,2.9,26.7,117.0,112.0,"DPOY-8,DEF2"
57.0,Giannis Antetokounmpo,27.0,MIL,PF,67.0,67.0,2204.0,15.0,27.1,0.553,1.5,5.3,0.293,13.5,21.9,0.616,0.582,12.1,16.7,0.722,2.9,14.0,17.0,8.5,1.6,2.0,4.8,4.6,43.6,124.0,106.0,"MVP-3,DPOY-6,AS,NBA1,DEF1"
58.0,Kyle Kuzma,26.0,WAS,PF,66.0,66.0,2204.0,9.5,21.0,0.452,2.9,8.4,0.341,6.6,12.6,0.526,0.52,3.5,4.9,0.712,1.6,11.0,12.6,5.2,0.9,1.3,3.8,2.9,25.4,103.0,113.0,
59.0,Derrick White,27.0,2TM,SG,75.0,52.0,2199.0,7.4,17.7,0.421,2.5,8.1,0.312,4.9,9.5,0.515,0.493,4.5,5.2,0.864,0.8,4.9,5.8,8.1,1.4,1.3,2.6,3.8,21.9,114.0,112.0,
59.0,Derrick White,27.0,SAS,SG,49.0,48.0,1486.0,7.8,18.4,0.426,2.6,8.3,0.314,5.2,10.1,0.519,0.497,4.5,5.2,0.869,0.8,4.8,5.6,8.8,1.6,1.4,2.8,3.7,22.8,114.0,113.0,
59.0,Derrick White,27.0,BOS,SG,26.0,4.0,713.0,6.6,16.0,0.409,2.4,7.7,0.306,4.2,8.3,0.504,0.483,4.5,5.2,0.853,0.9,5.2,6.1,6.4,1.0,1.1,2.2,3.9,19.9,114.0,109.0,
60.0,Kevin Huerter,23.0,ATL,SF,74.0,60.0,2188.0,7.7,17.1,0.454,3.6,9.2,0.389,4.2,7.8,0.53,0.559,0.9,1.2,0.808,0.7,5.0,5.7,4.6,1.2,0.6,2.0,4.2,20.0,112.0,117.0,
61.0,Devonte' Graham,26.0,NOP,PG,76.0,63.0,2162.0,6.8,18.6,0.363,4.4,12.9,0.341,2.4,5.8,0.413,0.481,2.7,3.2,0.843,0.8,3.2,4.0,7.2,1.6,0.3,2.4,2.2,20.6,109.0,116.0,
62.0,Tyler Herro,22.0,MIA,SG,66.0,10.0,2151.0,11.7,26.1,0.447,4.1,10.2,0.399,7.6,15.9,0.477,0.525,4.4,5.1,0.868,0.7,6.9,7.7,6.1,1.0,0.2,4.0,2.2,31.8,107.0,111.0,6MOY-1
63.0,CJ McCollum,30.0,2TM,PG,62.0,62.0,2145.0,12.3,26.6,0.46,4.2,10.7,0.388,8.1,15.9,0.509,0.539,2.7,3.9,0.682,1.2,4.9,6.2,7.2,1.6,0.5,2.9,2.8,31.3,111.0,117.0,
63.0,CJ McCollum,30.0,POR,SG,36.0,36.0,1267.0,11.2,25.6,0.436,4.3,11.1,0.384,6.9,14.5,0.476,0.52,1.9,2.6,0.706,1.3,4.6,5.9,6.3,1.4,0.8,2.7,3.0,28.5,107.0,119.0,
63.0,CJ McCollum,30.0,NOP,PG,26.0,26.0,878.0,13.8,28.1,0.493,4.0,10.1,0.394,9.8,17.9,0.549,0.564,3.8,5.7,0.667,1.1,5.5,6.5,8.5,1.9,0.1,3.2,2.5,35.5,116.0,114.0,
64.0,Jordan Clarkson,29.0,UTA,SG,79.0,1.0,2141.0,10.8,25.7,0.419,4.4,13.8,0.318,6.4,11.9,0.535,0.504,3.3,4.0,0.828,1.5,4.8,6.3,4.5,1.5,0.4,3.0,3.4,29.2,108.0,113.0,6MOY-4
65.0,Khris Middleton,30.0,MIL,SF,66.0,66.0,2141.0,10.1,22.9,0.443,3.6,9.7,0.373,6.5,13.2,0.494,0.522,5.8,6.5,0.89,0.9,7.1,8.0,8.0,1.7,0.4,4.3,3.6,29.7,112.0,112.0,AS
66.0,Malik Monk,23.0,LAL,SG,76.0,37.0,2139.0,8.8,18.5,0.473,3.9,9.9,0.391,4.9,8.6,0.568,0.578,2.1,2.6,0.795,0.8,4.9,5.7,4.9,1.4,0.6,2.7,3.1,23.5,112.0,115.0,
